,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
93,DISTRIBUCIÓN DE PRODUCTOS DE PANADERÍA Y PASTELERÍA,"REALIZAR LA DISTRIBUCIÓN DE LOS PRODUCTOS DE LA INDUSTRIA DE PANADERÍA Y PASTELERÍA, CUMPLIENDO CON LOS HORARIOS DE DESPACHO DE LOS PRODUCTOS ASÍ COMO CON LAS NORMAS DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
94,GESTIÓN EN LOGÍSTICA PORTUARIA,"REALIZAR LAS FUNCIONES DE VIGILANCIA DEL BUQUE PESQUERO, ASÍ COMO EL MANTENIMIENTO Y ENGRASE DE LOS ELEMENTOS DE A BORDO, EN SU ESTANCIA EN PUERTO, OCUPÁNDOSE BAJO LAS INDICACIONES DE UN SUPERIOR, DE LAS LABORES DE CARGA, DESCARGA Y ARRANCHE DE LOS PERTRECHOS Y PROVISIONES, Y LAS DE MANTENIMIENTO Y REPARACIÓN DE LOS EQUIPOS DE PESCA FUERA DE USO, COLABORANDO EN LAS DISTINTAS MANIOBRAS A REALIZAR POR EL BUQUE EN PUERTO, OBSERVANDO EN TODO MOMENTO LAS NORMAS DE SEGURIDAD","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
95,"OPERACIONES DE CONTROL EN LA RECEPCIÓN, UBICACIÓN Y DESPACHO DE CONTENEDORES","CONTROLAR LA UBICACIÓN Y DESPACHO DE LA CARGA EN LOS RECINTOS PORTUARIOS, DE ACUERDO A LAS INSTRUCCIONES ESTABLECIDAS POR EL SUPERIOR, DANDO CUMPLIMIENTO A LAS NORMAS DE SEGURIDAD.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
96,INSTRUMENTACIÓN INDUSTRIAL,"REALIZAR LA INSTALACIÓN DE EQUIPOS Y MAQUINARIA INDUSTRIAL, A PARTIR DE PLANOS Y CARACTERÍSTICAS TÉCNICAS, CUMPLIENDO CONDICIONES DE FUNCIONAMIENTO DE ACUERDO A NORMAS DE PREVENCIÓN EN RIESGOS LABORALES Y PROTECCIÓN DEL MEDIO AMBIENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
97,OPERACIONES ESPECIALIZADAS EN MONTAJE Y MANTENIMIENTO DE INSTALACIONES SOLARES TÉRMICAS,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES FUNDAMENTALMENTE SOBRE TÉRMICOS, FOTOVOLTAICAS Y EÓLICAS DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS E INSTRUCCIONES DE UN TÉCNICO DE NIVEL SUPERIOR Y CUMPLIENDO LAS PRESCRIPCIONES DE SEGURIDAD PARA LAS PERSONAS, MEDIO AMBIENTE E INSTALACIONES.",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
98,OPERACIONES ESPECIALIZADAS EN VOLTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES FUNDAMENTALMENTE SOBRE TÉRMICOS, FOTOVOLTAICAS Y EÓLICAS DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS E INSTRUCCIONES DE UN TÉCNICO DE NIVEL SUPERIOR Y CUMPLIENDO LAS PRESCRIPCIONES DE SEGURIDAD PARA LAS PERSONAS, MEDIO AMBIENTE E INSTALACIONES.",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
99,GESTIÓN ELÉCTRICA EN ENERGIAS RENOVABLES,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES FUNDAMENTALMENTE SOBRE TÉRMICOS, FOTOVOLTAICAS Y EÓLICAS DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS E INSTRUCCIONES DE UN TÉCNICO DE NIVEL SUPERIOR Y CUMPLIENDO LAS PRESCRIPCIONES DE SEGURIDAD PARA LAS PERSONAS, MEDIO AMBIENTE E INSTALACIONES",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
100,OPERACIONES DE ESTIBAJE DE ENVASADO DE GLP,"REALIZAR EL ESTIBAJE DE LOS CILINDROS DE GLP, PROVENIENTES DE LOS CENTROS DE DISTRIBUCIÓN, A LOS TRANSPORTADORES DE LA NAVE DE ENVASADO Y/O TALLER REPARACIÓN DE CILINDROS, CUMPLIENDO LOS PROCEDIMIENTOS Y NORMAS DE SALUD, SEGURIDAD Y AMBIENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
101,OPERACIONES DE REPARACIÓN DE CILINDROS DE GLP,"REALIZAR EL MANTENIMIENTO DE CILINDROS DE GLP, QUE HAN SUFRIDO ALGÚN DETERIORO EN SUS ASAS, BASES, VÁLVULAS O PINTURA, CUMPLIENDO LO ESTABLECIDO EN LOS PROCEDIMIENTOS INTERNOS, NORMAS TÉCNICAS Y DE SALUD, SEGURIDAD Y AMBIENTE APLICABLES VIGENTES.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
102,ASESORAMIENTO DE SEGUROS,REALIZAR EL ASESORAMIENTO Y COMERCIALIZACIÓN DE SEGUROS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y A LA NORMATIVA LEGAL VIGENTE.,SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
103,RECUPERACIÓN RECICLAJE Y REGENERACIÓN DE GASES REFRIGERANTES,"REACONDICIONAR GASES REFRIGERANTES A TRAVÉS DE EQUIPOS ESPECIALIZADOS CUMPLIENDO LAS NORMAS ESTABLECIDAS DE SEGURIDAD Y SALUD EN EL TRABAJO, CALIDAD Y MEDIO AMBIENTE.",ACTIVIDADES TIPO SERVICIOS,"RECOLECCIÓN, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS, RECUPERACIÓN DE MATERIALES",
104,MONTAJE E INSTALACIÓN DE CONSTRUCCIONES DE MADERA,"REALIZAR LAS OPERACIONES DE INSTALACIÓN, MONTAJE, AJUSTE Y ACABADO DE CONSTRUCCIONES DE ENTRAMADO LIGERO, PESADO, DE GRAN ESCUADRÍA, TRONCOS, MADERA LAMINADA Y SISTEMAS PANELIZADOS, EN CONDICIONES DE SEGURIDAD Y SALUD LABORAL.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,CONSTRUCCIÓN DE EDIFICIOS,
105,INSTALACIONES HIDROSANITARIAS,"COLABORAR EN LA GESTIÓN DEL CICLO INTEGRAL DEL AGUA PROMOVIENDO SU USO EFICIENTE, Y DESARROLLAR PROYECTOS DE INSTALACIONES AUTÓNOMAS DE CAPTACIÓN, POTABILIZACIÓN, SUMINISTRO, SANEAMIENTO Y DEPURACIÓN DE AGUA, ORGANIZANDO Y CONTROLANDO SU MONTAJE Y MANTENIMIENTO, PARA CONSEGUIR LOS MEJORES RENDIMIENTOS DEL SISTEMA, INCLUYENDO SU EFICIENCIA ENERGÉTICA Y SU APROVECHAMIENTO MEDIANTE TÉCNICAS DE REUTILIZACIÓN, APLICANDO LOS CRITERIOS DE CALIDAD, CUMPLIENDO LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES DE LA EMPRESA Y LA NORMATIVA VIGENTE.","ELECTRICIDAD, GAS Y AGUA",ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,
106,MANTENIMIENTO ELECTROMECÁNICO DE VEHÍCULOS,"REALIZAR OPERACIONES DE MANTENIMIENTO, MONTAJE DE ACCESORIOS Y MODIFICACIONES DEL VEHÍCULO EN EL ÁREA DE MECÁNICA, HIDRÁULICA, NEUMÁTICA Y ELECTRICIDAD ELECTRÓNICA AJUSTÁNDOSE A PROCEDIMIENTOS Y TIEMPOS ESTABLECIDOS, CONSIGUIENDO LA CALIDAD REQUERIDA Y EN CONDICIONES DE SEGURIDAD.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
107,ENDEREZAMIENTO Y SOLDADURA AUTOMOTRIZ,"ENDEREZAR PARTES Y PIEZAS AUTOMOTRICES MEDIANTE LA UTILIZACIÓN DE EQUIPOS Y HERRAMIENTAS PARA GARANTIZAR LA CALIDAD Y EL DISEÑO TÉCNICO ORIGINAL DE LOS COMPONENTES NUEVOS Y/O RESTAURADOS, CUMPLIENDO CON NORMAS DE CALIDAD,EGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
108,RECTIFICACIÓN,"REALIZAR LA RECTIFICACIÓN Y RECONSTRUCCIÓN DE PIEZAS METÁLICAS CONFORME A ESPECIFICACIONES TÉCNICAS DEL FABRICANTE O DISEÑO ORIGINAL ACORDE A NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
109,MECATRÓNICA AUTOMOTRIZ,"REALIZAR EL MANTENIMIENTO, DIAGNOSTICO Y REPARACION DE LOS SISTEMAS MECANICOS, ELECTRICOS Y ELECTRONICOS DE LOS VEHICULOS AUTOMOTORES EN CONDICIONES DE AUTONOMIA, SEGURIDAD Y CUIDADO DEL MEDIO AMBIENTE UTILIZANDO LOS PROCEDIMIENTOS TECNICOS ESTABLECIDOS Y LA INFORMACION TECNICA DE LOS FABRICANTES.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
110,INSTALACIÓN DE ELEMENTOS DE CARPINTERÍA,"REALIZAR LAS OPERACIONES DE PLANIFICACIÓN, MONTAJE, AJUSTE Y ACABADO DE LAS INSTALACIONES DE ELEMENTOS DE CARPINTERÍA, CONSIGUIENDO LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, DE SALUD LABORAL Y DE MEDIO AMBIENTE ADECUADAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,
111,ELABORACIÓN DE MACANA,"ELABORAR MACANAS DE ACUERDO A LOS REQUERIMIENTOS DEL CLIENTE O NECESIDAD PROPIA, CUMPLIENDO NORMATIVA AMBIENTAL VIGENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES.,
112,ASISTENCIA MECÁNICA,"REALIZAR ACTIVIDADES DE MANTENIMIENTO CORRECTIVO Y PREVENTIVO DE AUTOMOTORES Y SUS SISTEMAS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y CONSIDERANDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL Y AMBIENTALES.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
113,MANTENIMIENTO DE SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS,"REALIZAR EL MANTENIMIENTO (PREVENTIVO Y CORRECTIVO) E INSTALACIÓN DE CIRCUITOS Y ACCESORIOS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS AUTOMÓVILES, INDUSTRIALES, MOTOCICLETAS, MAQUINARIA PESADA Y AGRÍCOLA, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS, CONSIGUIENDO LA CALIDAD REQUERIDA EN CONDICIONES DE SEGURIDAD.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
114,RECTIFICACIÓN DE PINTURA AUTOMOTRÍZ,"RECTIFICAR SUPERFICIES DE VEHÍCULOS, CONFORME TÉCNICAS Y PROCEDIMIENTOS REQUERIDOS EN CADA CASO, CUMPLIENDO LA CALIDAD REQUERIDA EN CONDICIONES DE SEGURIDAD Y LAS ESPECIFICACIONES DEL CLIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
115,SOLDADURA EN PROCESO SMAW (SOLDADURA POR ARCO CON ELECTRODO METÁLICO REVESTIDO),"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS EN ESTRUCTURAS METÁLICAS LIGERAS UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON ELECTRODO METÁLICO REVESTIDO (SMAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
116,ARMADO DE ESTRUCTURAS METÁLICAS,"REALIZAR EL ARMADO, MONTAJE Y ACABADO DE ESTRUCTURAS METÁLICAS CONFORME AL DISEÑO Y ESPECIFICACIONES TÉCNICAS REQUERIDAS, CUMPLIENDO CON NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
117,HOJALATERÍA,"ELABORAR ELEMENTOS DE HOJALATA (INSTALACIÓN Y REPARACIÓN), SEGÚN PROCEDIMIENTOS DEL TIPO DE TRABAJO A REALIZARSE CUMPLIENDO NORMAS DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES","FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
118,OPERACIONES EN PROCESO PAC (CORTE POR ARCO PLASMA),"REALIZAR LAS OPERACIONES CORRESPONDIENTES AL CORTE DE MATERIALES METÁLICOS UTILIZANDO EL PROCESO DE CORTE POR ARCO PLASMA (PAC), CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD INDUSTRIAL, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
119,DESARROLLO DE MOLDES Y PATRONES,"ELABORAR MOLDES DE ACUERDO A DISEÑOS TÉCNICOS Y REQUERIMIENTOS DE LOS CLIENTES BAJO LOS ESTÁNDARES ESTABLECIDOS EN LAS NORMAS DE CALIDAD, SEGURIDAD Y MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
120,GESTIÓN EN AUTOMATIZACIÓN E INSTRUMENTACIÓN,"REALIZAR EL MONTAJE Y PUESTA EN MARCHA BIENES DE EQUIPO Y MAQUINARIA INDUSTRIAL, A PARTIR DE PLANOS DE MONTAJE E INSTRUCCIONES TÉCNICAS, UTILIZANDO LOS ÚTILES Y HERRAMIENTAS REQUERIDOS, MANTENIENDO LOS BIENES DE EQUIPO Y MAQUINARIA INDUSTRIAL EN CONDICIONES DE FUNCIONAMIENTO Y DISPONIBILIDAD DURANTE EL PERIODO DE GARANTÍA Y CUMPLIENDO CON LA NORMATIVA APLICABLE DE PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN DEL MEDIO AMBIENTE.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
121,ASISTENCIA EN ACTIVIDADES OPERATIVAS DE COMERCIO EXTERIOR,ASISTIR EN LAS OPERACIONES DE COMERCIO EXTERIOR DE PRODUCTOS Y SERVICIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS EN LA NORMATIVA NACIONAL E INTERNACIONAL VIGENTE,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",
122,GESTIÓN DE COMPRAS Y ABASTECIMIENTOS,GESTIONAR LA COMPRA Y ABASTECIMIENTO DE PRODUCTOS Y/O SERVICIOS CUMPLIENDO PROCEDIMIENTOS Y POLÍTICAS ESTABLECIDAS.,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",
123,MOLDEO Y MACHERIA,"REALIZAR LAS OPERACIONES DE MOLDEO Y MACHERÍA PARA FUNDICIÓN DE ALEACIONES METÁLICAS, CONTROLANDO LOS PRODUCTOS OBTENIDOS, ASÍ COMO LA PREPARACIÓN, PUESTA A PUNTO, FUNCIONAMIENTO Y MANTENIMIENTO DE PRIMER NIVEL DE LAS INSTALACIONES, MÁQUINAS Y UTILLAJES; CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
124,PRODUCCIÓN EN FUNDICIÓN Y PULVIMETALURGICA,"DETERMINAR LOS PROCESOS OPERACIONALES DE FUNDICIÓN Y PULVIMETALURGIA Y REALIZAR LA PROGRAMACIÓN DE SISTEMAS AUTOMÁTICOS DE FABRICACIÓN, ASÍ COMO ORGANIZAR Y SUPERVISAR LA PRODUCCIÓN, A PARTIR DE LA DOCUMENTACIÓN TÉCNICA DEL PROCESO, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
125,OPERACIONES DE HORNO EN TRATAMIENTO TÉRMICO,"OPERAR HORNOS ELÉCTRICOS POR INDUCCIÓN PARA TRATAMIENTOS TÉRMICOS DE TRANSFORMACIÓN ESTRUCTURAL (NORMALIZADO, RECOCIDO, TEMPLE Y REVENIDO), ASÍ COMO TAMBIÉN HORNOS PARA TRATAMIENTOS TERMOQUÍMICOS (CEMENTADO, NITRURADO, SULFINIZADO, CIANURADO, CARBONITRURADO), APLICANDO LAS NORMAS DE CALIDAD, CONFIABILIDAD Y SEGURIDAD E HIGIENE PERSONAL Y EN CUMPLIMIENTO DE LA NORMATIVA DEL CUIDADO DEL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
126,GESTIÓN DE SOLDADURA,"REALIZAR OPERACIONES DE SOLDADURA SOBRE METALES Y CORTE POR PROYECCIÓN TÉRMICA, APLICANDO PROCESOS O.A.W (SOLDADURA OXIACETILÉNICA), S.M.A.W (SOLDADURA POR ARCO METÁLICO PROTEGIDO), G.M.A.W (SOLDADURA POR ARCO METÁLICO CON PROTECCIÓN GASEOSA) Y SOLDADURA TIG (SOLDADURA CON ELECTRODO DE TUNGSTENO Y PROTECCIÓN GASEOSA), ASÍ COMO PROCESOS DE CORTE POR OXIGAS, PLASMA Y ELECTRODO SEGÚN ESPECIFICACIONES AWS (SOCIEDAD AMERICANA DE SOLDADURA) CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE, Y DE ACUERDO A NORMAS NACIONALES E INTERNACIONALES.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
127,SOLDADURAS ESPECIALES,"REALIZAR LAS SOLDADURAS DE ACUERDO CON ESPECIFICACIONES DE PROCEDIMIENTOS DE SOLDEO (WPS), CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
128,MECANIZADO POR ARRANQUE DE VIRUTA,"REALIZAR LOS PROCESOS DE MECANIZADO POR ARRANQUE DE VIRUTA, CONTROLANDO LOS PRODUCTOS OBTENIDOS Y RESPONSABILIZÁNDOSE DEL MANTENIMIENTO DE PRIMER NIVEL DE LAS MÁQUINAS Y EQUIPOS, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
129,TRATAMIENTOS SUPERFICIALES,"REALIZAR TRATAMIENTOS SUPERFICIALES, CONTROLANDO LOS PRODUCTOS OBTENIDOS CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE, ASÍ COMO EL FUNCIONAMIENTO DE LOS EQUIPOS E INSTALACIONES, RESPONSABILIZÁNDOSE DE SU MANTENIMIENTO DE PRIMER NIVEL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
130,GESTIÓN DE LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA,"PROGRAMAR Y CONTROLAR LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA, PARA ASEGURAR SU AJUSTE CON LOS OBJETIVOS DE PRODUCCIÓN Y ORDENES DE FABRICACIÓN, DETERMINANDO LOS LOTES QUE SE DEBEN FABRICAR Y EL COMIENZO DE SU PRODUCCIÓN, GARANTIZANDO EL SUMINISTRO DE MATERIAS PRIMAS Y PRODUCTOS SEMIELABORADOS EN LAS LÍNEAS Y PUESTOS DE FABRICACIÓN, CUMPLIENDO CON LOS CRITERIOS DE CALIDAD, SEGURIDAD Y PROTECCIÓN DEL MEDIO AMBIENTE ESTABLECIDOS.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
131,OPERACIONES DE MÁQUINAS CONVENCIONALES,"ELABORAR PIEZAS GEOMÉTRICAS DE METAL, MADERA O PLÁSTICO DE ACUERDO A MEDICIONES Y/O VERIFICACIONES DE MAGNITUDES DIMENSIONALES, ANGULARES, CALIDAD SUPERFICIAL, SEGÚN NORMATIVAS ESTABLECIDAS.","ELECTRICIDAD, GAS Y AGUA",FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.,
132,METROLOGÍA LEGAL,"REALIZAR EL CONTROL METROLÓGICO A LOS EQUIPOS, INSTRUMENTOS DE MEDICIÓN Y PRODUCTOS PRE ENVASADOS/PRE EMPACADOS DE ACUERDO A LAS REGULACIONES VIGENTES.",ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA",
133,GESTIÓN EN MECÁNICA INDUSTRIAL,"OBTENER PIEZAS MEDIANTE MECANIZADO A ALTA VELOCIDAD Y ALTO RENDIMIENTO, PLANIFICANDO Y CONTROLANDO LOS PROCESOS OPERACIONALES DE MECANIZADO Y PRODUCTOS FABRICADOS, ADAPTANDO LOS PLANOS DE FABRICACIÓN A LAS NECESIDADES DEL PROCESO, DISEÑANDO LOS UTILLAJES, PREPARANDO Y PONIENDO A PUNTO LAS MÁQUINAS, RESPONSABILIZÁNDOSE DEL MANTENIMIENTO DE PRIMER NIVEL DE LOS EQUIPOS, CONSIGUIENDO LOS CRITERIOS DE CALIDAD, CUMPLIENDO LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES DE LA EMPRESA, Y LA NORMATIVA DE APLICACIÓN VIGENTE.",METALMECÁNICA,FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.,
134,FABRICACIÓN Y MONTAJE DE MUEBLES,"REALIZAR EL MECANIZADO, MONTAJE, ACABADO, ALMACENAMIENTO Y EXPEDICIÓN DE LOS PROCESOS DE FABRICACIÓN DE MUEBLES ASÍ COMO LA PREPARACIÓN, PUESTA A PUNTO Y OPERACIÓN DE LAS MÁQUINAS, HERRAMIENTAS Y EL MONTAJE DEL MUEBLE EN EL LUGAR DE DESTINO OBTENIENDO PRODUCTOS DE CALIDAD EN CONDICIONES DE SEGURIDAD Y EN LOS PLAZOS REQUERIDOS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES,
135,"ELABORACIÓN DE ""PRENDAS DE VESTIR""","ELABORAR ""PRENDAS DE VESTIR"" A TRAVÉS DE PROCESOS:DISEÑO; PLANO DE CORTE TENDIDO, CORTE; CONFECCIÓN Y ACABADOS, DE ACUERDO A PROCEDIMIENTOS Y/O NORMAS TÉCNICAS DE REFERENCIA Y AL USO FINAL DE LA VESTIMENTA.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR.,
136,GESTIÓN DE PROYECTOS AMBIENTALES,"REALIZAR LA PLANIFICACIÓN, EJECUCIÓN, EVALUACIÓN, MONITOREO Y COORDINACIÓN DE LAS ACTIVIDADES EN CAMPO EN BASE AL TIPO DE PROYECTO AMBIENTAL MEDIANTE LA RECOPILACIÓN DE INFORMACIÓN Y GENERACIÓN DE REPORTES DE CUMPLIMIENTO DE LAS ACTIVIDADES PROGRAMADAS DE ACUERDOA LOS PARÁMETROS, NORMAS, LEYES AMBIENTALES VIGENTES Y REQUERIMIENTOS DEL PROYECTO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
