,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
101,PREPARACIÓN DE PASTA DE PAPEL,PREPARAR Y ELABORAR PASTA CELULOSA BAJO ESTÁNDARES DE CALIDAD PARA LA ELABORACIÓN DE PRODUCTOS SEMI-ELABORADOS DE PAPEL CUMPLIENDO CON NORMAS MEDIO AMBIENTALES Y DE SEGURIDAD Y SALUD EN EL TRABAJO.,"PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,
102,ASISTENCIA A LA EDICIÓN,"ASISTIR Y COLABORAR EN LA GESTIÓN Y EDICIÓN EDITORIAL, REALIZANDO LA CORRECCIÓN ESTILÍSTICA Y ORTO TIPOGRÁFICO DE TEXTOS, GESTIONANDO LA CONTRATACIÓN DE LOS DERECHOS DE AUTOR DE TEXTOS E IMÁGENES Y ORGANIZANDO LOS CONTENIDOS DE LA OBRA, MANTENIENDO LOS CRITERIOS Y CALENDARIOS DEL PROGRAMA DE LA EDITORIAL.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",
103,OPERACIONES ESPECIALIZADAS EN DIRECCIÓN DE CÁMARAS,DESARROLLAR UN LENGUAJE AUDIOVISUAL DE UN PROGRAMA O PROYECTO CONFORME LOS LINEAMIENTOS DEL GUION O LIBRETO Y LOS ESTÁNDARES DE CALIDAD ESTABLECIDOS INSTITUCIONALMENTE.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
104,PRODUCCIÓN DE AUDIOVISUALES,DISEÑAR Y REALIZAR PROYECTOS AUDIOVISUALES EN CONFORMIDAD CON ESTÁNDARES DE CALIDAD Y LOS LINEAMIENTOS ESTABLECIDOS POR LA EMPRESA O MEDIO DE COMUNICACIÓN.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
105,GRABACIÓN Y POST-PRODUCCIÓN DE SONIDO EN PRODUCCIÓN MUSICAL Y AUDIOVISUAL,GENERAR PRODUCTOS Y/O MATERIAL SONORO MEDIANTE EL MANEJO DE EQUIPOS DE AUDIO APLICANDO TÉCNICAS DE SONIDO Y NORMATIVAS VIGENTES.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
106,LOCUCIÓN Y PRESENTACIÓN DE RADIO Y TELEVISIÓN,CONDUCIR ESPACIOS DE PROGRAMACIÓN Y PRESENTAR CONTENIDOS A TRAVÉS DE FORMATOS DE RADIO Y/O TELEVISIÓN TOMANDO EN CONSIDERACIÓN LOS PROCEDIMIENTOS ESTABLECIDOS Y LA NORMATIVA VIGENTE.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN,
107,GESTIÓN EN RADIO,"REALIZAR EL INICIO DE LA TRANSMISIÓN, PUESTA AL AIRE, CIERRE DE LA TRANSMISIÓN, TRANSMISIÓN DE EVENTOS DEL EXTERIOR, GRABACIÓN Y EDICIÓNDE SOLICITUDES ARTÍSTICAS Y/O COMERCIALES USANDO CONOCIMIENTOS BÁSICOS DE ELECTRICIDAD Y ELECTRÓNICA, MANEJO DE SOFTWARE ESPECÍFICO DE LA RADIO, MANEJO DE CONSOLAS DE LA RADIO E INSTALACIÓN DE EQUIPOS DE EXTERIORES.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN,
108,EBANISTERÍA,"ELABORAR DE MANERA ARTESANAL INSTRUMENTOS DE CUERDA MEDIANTE LA PREPARACIÓN, OPERACIÓN Y CONTROL MÁQUINAS Y HERRAMIENTAS, LLEVANDO A CABO EL CONTROL DEL PROCESO DE ACUERDO A LA NORMATIVA VIGENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE MUEBLES,
109,OPERACIONES EN REPARACIÓN DE CALZADO Y MARROQUINERÍA,"REPARAR ROTURAS Y DAÑOS, Y/O SUSTITUIR PIEZAS EN CUALQUIER TIPO DE CALZADO Y/O ARTÍCULO DE MARROQUINERÍA, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS NECESARIOS, LOGRANDO EL ARTÍCULO RESTAURADO CON LA CALIDAD Y ACABADO REQUERIDO, EN LOS PLAZOS PREVISTOS, CON LA ATENCIÓN AL CLIENTE QUE DEMANDA EL SERVICIO Y EN LAS CONDICIONES DE SEGURIDAD Y MEDIOAMBIENTALES.","PRODUCTOS TEXTILES, CUERO Y CALZADO",REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,
110,CONSERJERÍA,"REALIZAR OPERACIONES DE FUNCIONAMIENTO Y MANTENIMIENTO PREVENTIVO EN EL EDIFICIO O INMUEBLE, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES DE PERSONAL DOMÉSTICO,
111,PREPARACIÓN DE LA MADERA,"REALIZAR LAS OPERACIONES DE SECADO Y DE TRATAMIENTO DE LA MADERA PARA PROTEGERLA CONTRA LOS AGENTES DEGRADADORES Y MEJORAR SUS CARACTERÍSTICAS, UTILIZANDO LOS MÉTODOS Y LOS EQUIPOS ESPECÍFICOS, CONSIGUIENDO LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, SALUD LABORAL Y MEDIO AMBIENTALES ADECUADAS.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
112,OPERACIONES DE LACADO,"REALIZAR EL ACABADO DE SUPERFICIES EN CARPINTERÍA Y MUEBLE MEDIANTE LA APLICACIÓN DE PRODUCTOS SUPERFICIALES DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS, RESPETANDO LA NORMATIVA VIGENTE.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,FABRICACIÓN DE MUEBLES,
113,REALIZACIÓN DE MASAJES TERAPÉUTICOS,"RECONOCER Y ALIVIAR LOS SIGNOS, SÍNTOMAS, Y PATOLOGÍAS IDENTIFICADAS MEDIANTE LA APLICACIÓN DE TÉCNICAS DE MASAJE TERAPÉUTICO BASADO EN PROTOCOLOS ESTABLECIDOS; TOMANDO EN CONSIDERACIÓN LAS NORMAS DE HIGIENE, SEGURIDAD Y SALUD EN EL TRABAJO.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
114,SUPERVISIÓN DE LIMPIEZA Y ARREGLO DE HABITACIÓN (AMA DE LLAVES),"REALIZAR LA COORDINACION Y SUPERVISION DE LOS SERVICIOS DE ASEO, LIMPIEZA Y ORDEN DE HABITACIONES, AREAS PUBLICAS Y AREAS DE SERVICIO DEL ESTABLECIMIENTO, CUMPLIENDO LA NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ALOJAMIENTO,
115,MECANIZADO Y CONSTRUCCIONES METÁLICAS,REALIZAR LAS DISTINTAS OPERACIONES EN LOS PROCESOS DE MECANIZADO Y DE CONSTRUCCIONES METALICAS VERIFICANDO LA CALIDAD DE LOS PRODUCTOS OBTENIDOS VERIFICANDO EL FUNCIONAMIENTO DE PUESTA EN MARCHA Y PARADA DE LOS EQUIPOS EN CONDICIONES DE SEGURIDAD Y ESTANDAREZ DE CALIDAD.,METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
116,OPERACIONES DE MÁQUINA DE EMPAQUE Y SELLADO DE PESCADO Y MARISCOS,"OPERAR LAS MÁQUINAS DE EMPAQUE Y SELLADO DE LOS PRODUCTOS DE PESCADO Y MARISCOS EN BASE A LAS ÓRDENES DE PRODUCCIÓN, BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
117,OPERACIONES EN ARTESANÍAS DE OBRAS DE PIEDRA NATURAL,"REALIZAR Y MANTENER OBRAS DE ARTESANÍA EN PIEDRA NATURAL, DE CARÁCTER TRADICIONAL O CONTEMPORÁNEO, SEGÚN LA OBRA A EJECUTAR Y TÉCNICAS ESTABLECIDAS",ARTESANÍAS,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
118,ADMINISTRACIÓN Y DISEÑO DE REDES DEPARTAMENTALES,"DISEÑAR LA ARQUITECTURA DE COMUNICACIONES DE UN ENTORNO DE COMPLEJIDAD MEDIA O BAJA, SUPERVISAR SU IMPLANTACIÓN SIGUIENDO EL PROYECTO Y ADMINISTRAR EL SISTEMA RESULTANTE, PROPORCIONANDO LA ASISTENCIA TÉCNICA NECESARIA.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",
119,ADMINISTRACIÓN Y MANEJO DE RECURSOS NATURALES,"PROTEGER EL MEDIO NATURAL, VIGILANDO EL RESPETO A LA NORMATIVA VIGENTE",ACTIVIDADES TIPO SERVICIOS,"RECOLECCIÓN, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS, RECUPERACIÓN DE MATERIALES",
120,DISEÑO DE CALZADO,"DISEÑAR CALZADO MEDIANTE LA INVESTIGACIÓN DE NECESIDADES Y TENDENCIAS DEL MERCADO INTERNO Y EXTERNO, SELECCIONANDO MATERIALES E INSUMOS QUE PERMITAN CUMPLIR CON LOS ESTÁNDARES DE CALIDAD.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
121,"ELABORACIÓN DE ARTESANÍAS CON FIBRAS, COLORANTES Y SEMILLAS NATIVAS DE LA AMAZONIA ECUATORIANA","IDENTIFICAR, PREPARAR, DISEÑAR, ELABORAR Y COMERCIALIZAR ARTESANÍAS MANUALES CON LA UTILIZACIÓN DE SEMILLAS, FIBRAS Y COLORANTES NATIVOS, FUNDAMENTALMENTADA EN LA IDENTIDAD ANCESTRAL, CON RESPETO AL MEDIO AMBIENTE Y AUTENTICIDAD CULTURAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
122,FORJA ARTESANAL - ARTÍSTICA,"ELABORAR ELEMENTOS DE FORJA Y HERRERÍA (HERRADURAS, HERRAMIENTAS, OBJETOS ORNAMENTALES EN METAL) ENSAMBLADAS, TOMANDO EN CONSIDERACIÓN LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL",ARTESANÍAS,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
123,"DIBUJANTE DE MECÁNICA INDUSTRIAL, ELECTRICIDAD Y ELECTRÓNICA","DISEÑAR PRODUCTOS PARA SU OBTENCIÓN POR FABRICACIÓN MECÁNICA, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
124,PROCESAMIENTO Y CONSERVACIÓN DE PRODUCTOS DE LA PESCA Y ACUICULTURA,"REALIZAR LAS LABORES DE CONSERVACION Y PROCESAMIENTO DE PESCADOS Y MARISCOS MEDIANTE LOS PROCESOS DE REFRIGERACION, CONGELACION, SECADO, SALADO, AHUMADO Y PRE-COCINADO DE ACUERDO A LAS TECNICAS ESTABLECIDAS Y NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
125,PINTURA METALMECÁNICA,"APLICAR PINTURA Y REVESTIMIENTOS EN LAS SUPERFICIES METÁLICAS, CONFORME A LOS PROCESOS Y ESTÁNDARES DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",METALMECÁNICA,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,
126,AGENTE DE SEGURIDAD PARA LUGARES TURÍSTICOS - NTE INEN 2 466: 2008,"EL AGENTE DE SEGURIDAD PARA LUGARES TURÍSITCOS SE OCUPA, PRINCIPALMENTE, PROTEGER AL USUARIO, AL PATRIMONIO Y ATRACTIVO TURÍSTICO PARA PREVENIR ACCIDENTES, INFRACCIONES Y DELITOS.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,
127,SOLDADURA EN PROCESO GMAW (MIG.MAG) SOLDADURA POR ARCO PROTEGIDO CON GAS,"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS COMO LÁMINAS Y TUBOS DE ACERO AL CARBONO Y ACERO INOXIDABLE EN ESTRUCTURAS METÁLICAS LIGERAS, UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON TUNGSTENO Y GAS (GMAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCIÓN AMBIENTAL",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
128,SOLDADURA,"UNIR ELEMENTOS CUMPLIENDO CON LAS NORMAS ESTABLECIDAS DE SOLDADURA, SEGURIDAD Y SALUD EN EL TRABAJO, ESTÁNDARES DE CALIDAD Y DE MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
129,SEGURIDAD PENITENCIARIA,"CUSTODIAR LA SEGURIDAD DEL SISTEMA DE REHABILITACIÓN SOCIAL, EN BASE A LA NORMATIVA CONSTITUCIONAL Y LEGAL VIGENTE.",ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
130,OPERACIONES DE PROTECCIÓN DE PARQUES Y RESERVAS,"REALIZAR LA CONSERVACIÓN, RESTAURACIÓN Y PROTECCIÓN DE LA DIVERSIDAD BIOLÓGICA DE LAS ÁREAS PROTEGIDAS IMPLEMENTANDO ESTRATEGIAS DE MANEJO SUSTENTABLE Y SOSTENIBLE DE LOS RECURSOS NATURALES DE ACUERDO A NORMATIVA LEGAL VIGENTE, LINEAMIENTOS, POLÍTICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ALOJAMIENTO,
131,OPERACIONES ESPECIALIZADAS EN MONTAJE Y REPARACIÓN DE SISTEMAS MICROINFORMÁTICOS,"REALIZAR OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE EQUIPOS MICROINFORMÁTICOS Y PERIFÉRICOS, BAJO LA SUPERVISIÓN DE UN RESPONSABLE, APLICANDO CRITERIOS DE CALIDAD Y ACTUANDO EN CONDICIONES DE SEGURIDAD, RESPETO AL MEDIO AMBIENTE, SIGUIENDO INSTRUCCIONES Y PROCEDIMIENTOS ESTABLECIDOS.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN,
132,SOMBRERIA EN GENERAL,"PRODUCIR SOMBREROS, APLICANDO TÉCNICAS Y PROCESOS ANCESTRALES E INNOVANDO, TOMANDO EN CUENTA LAS NORMAS DE CALIDAD, DE SEGURIDAD Y LA SALUD OCUPACIONAL.",ARTESANÍAS,FABRICACIÓN DE PRENDAS DE VESTIR,
133,SUPERVISIÓN DE SISTEMAS DE GESTIÓN DE INFORMACIÓN,"IMPLEMENTAR Y ADMINISTRAR SISTEMAS DE GESTIÓN DE INFORMACIÓN, DE ACUERDO A UN DISEÑO ESPECIFICADO, UBICADOS EN PLATAFORMAS Y SOPORTES INFORMÁTICOS HETEROGÉNEOS QUE GARANTICEN SU REGISTRO, CLASIFICACIÓN, DISTRIBUCIÓN Y TRAZABILIDAD.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",
134,ANÁLISIS Y DESARROLLO DE SISTEMAS INFORMÁTICOS,"DESARROLLAR SOLUCIONES INFORMÁTICAS A MEDIDA APLICANDO LOS CRITERIOS TÉCNICOS PARA EL DISEÑO DE SOFTWARE, CONSIDERANDO EL AVANCE TECNOLÓGICO Y LAS TENDENCIAS ACTUALES.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",
135,GESTIÓN DE SISTEMAS INFORMÁTICOS,"CONFIGURAR, ADMINISTRAR Y MANTENER UN SISTEMA INFORMÁTICO A NIVEL DE HARDWARE Y SOFTWARE, GARANTIZANDO LA DISPONIBILIDAD, ÓPTIMO RENDIMIENTO, FUNCIONALIDAD E INTEGRIDAD DE LOS SERVICIOS Y RECURSOS DEL SISTEMA.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",
136,PROGRAMACIÓN CON LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES,DESARROLLAR APLICACIONES INFORMÁTICAS SOBRE EL DISEÑO ESPECIFICADO UTILIZANDO LENGUAJES ORIENTADOS A OBJETOS Y BASES DE DATOS RELACIONALES.,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",
137,TÉCNICAS EN REDES Y TELECOMUNICACIONES,DAR SOLUCIONES DE SOPORTE Y MANTENCIÓN DE REDES E INFRAESTRUCTURA DE ACUERDO A LAS NECESIDADES DE USUARIOS Y LA EMPRESA.,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",
138,ADMINISTRACIÓN DE SERVICIOS DE INTERNET,"INSTALAR, CONFIGURAR, ADMINISTRAR Y MANTENER SERVICIOS COMUNES DE PROVISIÓN E INTERCAMBIO DE INFORMACIÓN UTILIZANDO LOS RECURSOS DE COMUNICACIONES QUE OFRECE INTERNET.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
139,SERVICIOS INFORMÁTICOS,"REALIZAR EL TRÁMITE Y COORDINACIÓN DE LAS RESPUESTAS APROPIADAS Y OPORTUNAS DE INCIDENTES, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS POR LA EMPRESA.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
140,GESTIÓN DE CAJA,"EJECUTAR LA GESTIÓN DE CAJA TOMANDO EN CONSIDERACIÓN LOS PROCESOS DE: PRE CHEQUEO, REGISTRO, VERIFICACIÓN Y ARQUEO DE CAJA; CUMPLIENDO PROTOCOLOS DE INFORMACIÓN Y ATENCIÓN AL CLIENTE, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS POR LA ORGANIZACIÓN.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
141,ADMINISTRACIÓN DE EMPRESAS,"GESTIONAR LAS DISTINTAS AREAS DE LA EMPRESA EN NIVELES DE ESTRATEGIA, OPERACIÓN Y ADMINISTRACIÓN, ESTABLECIENDO OBJETIVOS E INDICADORES DE GESTIÓN EN RELACIÓN A LAS TENDENCIAS DEL MERCADO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,
142,GESTIÓN PREVIA EN EMISIÓN DE TÍTULOS HABILITANTES,REALIZAR LAS GESTIONES PREVIAS A LA EMISIÓN DE TÍTULOS HABILITANTES DE TRANSPORTE TERRESTRE Y TRÁNSITO ACORDE A LA NORMATIVA VIGENTE.,"TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS,
143,GESTIÓN AMBIENTAL,"IMPLEMENTAR EL SISTEMA DE GESTIÓN AMBIENTAL (SGA) DE LA ORGANIZACIÓN, DE ACUERDO A LA NORMATIVA AMBIENTAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
144,HILATURA DE TELAS NO TEJIDAS,"PRODUCIR HILOS Y TELAS NO TEJIDAS, EN LOS NIVELES DE CANTIDAD, CALIDAD Y CONDICIONES DE SEGURIDAD ESTABLECIDOS, PREVIA PREPARACIÓN PROGRAMACIÓN Y PUESTA A PUNTO DE LAS MÁQUINAS Y EQUIPOS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
145,INSTALACIÓN DE TABLEROS INDUSTRIALES,"REALIZAR OPERACIONES DE MONTAJE, ENSAMBLADO, CONEXIONADO, MANTENIMIENTO Y COMPROBACIÓN DEL FUNCIONAMIENTO DE LOS EQUIPOS DE MANIOBRA, COMANDO Y PROTECCIÓN ELÉCTRICOS, DE ACUERDO A PROCEDIMIENTOS TÉCNICOS ESTABLECIDOS Y NORMAS DE SEGURIDAD PERSONAL E INDUSTRIAL.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
146,OPERACIONES AUXILIARES EN LIMPIEZA DE UNIDADES DE SALUD,REALIZAR LA LIMPIEZA Y MANEJO DE DESECHOS DE LAS UNIDADES DE SALUD DE ACUERDO A LA NORMATIVA LEGAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,
147,LUMINOTECNIA,APLICAR TÉCNICAS DE ILUMINACIÓN EN ESPECTÁCULOS Y ESCENARIOS CREANDO EFECTOS COSIDERANDO PROTOCOLOS DE SEGURIDAD,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
148,OPERACIÓN AUXILIAR DE PRODUCCIÓN Y FACILIDADES,"REALIZAR ACTIVIDADES DE OPERACIÓN, CONTROL Y MANTENIMIENTO A EQUIPOS AUXILIARES DE PRODUCCIÓN; SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS EN EL PROGRAMA DE MANTENIMIENTOS CONTINUOS CON NORMAS TÉCNICAS DEL FABRICANTE.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
149,"OPERACIÓN DE EXPLORACIÓN, EXPLOTACIÓN Y PRODUCCIÓN","EJECUTAR ACTIVIDADES DE APOYO EN LA PROSPECCIÓN, DESARROLLO Y PRODUCCIÓN DE YACIMIENTOS DE PETRÓLEO Y GAS NATURAL; DE ACUERDO CON LOS CRITERIOS ESTABLECIDOS EN LOS PROGRAMAS SÍSMICOS Y DE PRODUCCIÓN DE CAMPOS PETROLEROS, BAJO NORMAS TÉCNICAS DE OPERACIÓN DE EQUIPOS Y SISTEMAS EN LOCACIONES PETROLERAS.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
150,OPERACIÓN DE PLANTA DE GENERACIÓN ELÉCTRICA,"EJECUTAR MANIOBRAS Y MONITOREO DE PARÁMETROS OPERATIVOS DE LOS EQUIPOS PRESENTES EN INSTALACIONES DE GENERACIÓN ELÉCTRICA, CON LA FINALIDAD DE MANTENER LA FUNCIONALIDAD DEL SISTEMA, CALIDAD, CONTINUIDAD Y DISPONIBILIDAD DEL SERVICIO.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
151,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,"REALIZAR OPERACIONES DE ADMINISTRACIÓN DE DATOS REQUERIDAS EN LAS TAREAS ADMINISTRATIVAS DE ACUERDO CON INSTRUCCIONES, NORMATIVA Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,
152,"LEVANTAMIENTOS, REPRESENTACIONES GRÁFICAS Y REPLANTEOS","REALIZAR LOS TRABAJOS REFERENTES A LEVANTAMIENTOS TOPOGRÁFICOS, REPRESENTACIONES GRÁFICAS MEDIANTE EL EMPLEO DE EQUIPOS Y PROGRAMAS TOPOGRÁFICOS; Y REPLANTEOS, SEGÚN LOS REQUERIMIENTOS DEL PROYECTO",ACTIVIDADES TIPO SERVICIOS,CONSTRUCCIÓN DE EDIFICIOS,
153,OPERACIONES DE PERFORACIÓN EN EXPLORACIÓN MINERA,"REALIZAR ACTIVIDADES DE PERFORACIÓN CON TALADRO EN LABORES DE EXPLORACIÓN MINERA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
154,OPERACIONES DE PLANTA DE GLP,"REALIZAR ACTIVIDADES DE RECEPCIÓN, ALMACENAMIENTO, DESPACHO DE GLP Y OPERACIÓN DE BOMBAS Y COMPRESORES GLP, EN ESTRICTO CUMPLIMIENTO DE LO ESTABLECIDO EN LOS PROCEDIMIENTOS, NORMAS TÉCNICAS Y DE SALUD, SEGURIDAD Y AMBIENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
