perfil,competenecia_laboral,familia,sector,tipo,estado
supervisión de caja,"supervisar las operaciones de caja en organizaciones o entidades financieras, de acuerdo a procedimientos establecidos.",servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
supervisión de organizaciones del sector financiero popular y solidario,"planificar, supervisar y evaluar los procesos y procedimientos financieros, administrativos, legales y sociales de las organizaciones del sector financiero popular y solidario tomando en consideración la estructura funcional y las metodologías específicas asociadas a los diferentes tipos de indicadores.",servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
manejo de la atención de emergencias obstétricas,coordinar la atención de emergencias obstétricas de acuerdo a los protocolos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
operaciones auxiliares en control y vigilancia fito sanitaria,ejecutar actividades de vigilancia y control fitosanitario de acuerdo a procedimientos establecidos cumpliendo la normativa legal vigente.,producción pecuaria,fabricación de substancias y productos químicos,oc,habilitado
operaciones de mantenimiento,"realizar operaciones de control, mantenimiento preventivo, predictivo y correctivo de maquinaria y equipos de acuerdo a los procedimientos de la empresa, aplicando las normas de seguridad y salud ocupacional.",actividades tipo servicios,reparación e instalación de maquinaria y equipo,oc,habilitado
operaciones de montaje de instalaciones de energía eólica,"efectuar operaciones para el montaje y puesta en operación de instalaciones de energía eólica, cumpliendo las normativas técnicas y de seguridad vigentes.","electricidad, gas y agua",reparación e instalación de maquinaria y equipo,oc,habilitado
operaciones en colorimetría,"elaborar un determinado color aplicado a la industria automotriz, de acuerdo a los requerimientos del cliente, siguiendo procedimientos de colorimetría para el repinte automotriz.","vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oc,habilitado
práctica terapéutica de shiatsu,realizar práctica terapéutica alternativa de shiatsu de acuerdo a requerimientos del usuario siguiendo procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
práctica terapéutica de yoga,realizar práctica terapéutica alternativa de yoga siguiendo procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
sistemas de control electrónico automotriz,"ejecutar operaciones de control de los sistemas electrónicos que forman parte de un vehículo, facilitando su manejo y asegurando sufuncionamiento adecuado, de acuerdo procedimientos establecidos y normativa vigente.","vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oc,habilitado
sostenimiento en minas subterráneas,"realizar el sostenimiento o entibado en minas subterráneas, cuando el macizo rocoso no es auto soportable de acuerdo a procedimientos técnicos establecidos, cumpliendo con la normativa vigente.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
supervisión en manejo de energía eléctrica,"supervisar grupos de trabajo en actividades de generación, transmisión, subtransmisión, distribución y comercialización, en trabajos propios del sector eléctrico con base a las necesidades del contexto.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
actividades de mayordomo a bordo de un buque de pasaje,"atender a los pasajeros a bordo de un buque de pasajeros, de acuerdo a procedimientos establecidos.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones auxiliares en estabilidad y sostenimiento subterráneo,"realizar el sostenimiento o entibado con base en procedimientos técnicos para dar estabilidad a las actividades mineras subterráneas, cuando el macizo rocoso no es auto soportable y cumpliendo con la normativa vigente.","minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
asistencia a las actividades de mantenimiento de aeronaves,"asistir en el mantenimiento y servicios en la aeronave, de acuerdo a especificaciones técnicas y normativa legal vigente bajo supervisión del jefe de mantenimiento.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
actividades de apoyo para la promoción en recreación y deportes,"participar en lapromoción de actividades físicas,recreativas y deportivas formativas-recreativas,así como en procesos de organización de encuentros recreativos y deportivos destinados a individuos, grupos y entidades públicas y privadas, para el mejoramiento de la calidad de vida y el bienestar de la población.",actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
cosmiatría,realizar procedimientos cosmiátricos faciales y corporales con base en la derivación médica o al diagnóstico médico realizado.,actividades comunitarias,otras actividades de servicios personales,oc,habilitado
facilitación de procesos de educación ambiental,facilitar los procesos de educación ambiental considerando el contexto socio-ambiental de la zona de intervención.,actividades de enseñanza,enseñanza,oc,habilitado
mantenimiento de mecánica de aviación,"reparar estructuras, sistemas eléctricos, motores de aeronaves de acuerdo a los manuales de los fabricantes cumpliendo las normas de seguridad y salud ocupacional.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones auxiliares de transporte de materiales peligrosos para actividades mineras,ejecutar actividades auxiliares de transporte de materiales peligrosos utilizados en la industria minera.,"minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
operaciones de molienda,"realizar la recepción, limpieza, secado y almacenamiento de materia prima para la aplicación de operaciones de molienda, mediante la manipulación de herramientas, maquinaria y equipos, de acuerdo a la normativa de calidad, seguridad, salud y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
sistemas de rastreo vehicular,"determinar la posición de un vehículo, así como su velocidad, dirección entre otros, mediante tecnologías de comunicaciones como la satelital, celular o radio, utilizando un módem de transmisión ubicado en el vehículo.",tecnología: hardware y software (incluye tic),telecomunicaciones,oc,habilitado
asesoría de imagen,"brindar el asesoramiento y ayuda a una persona (o grupo de personas) a potencializar su imagen, según procedimientos establecidos, de acuerdo al estudio de las características propias de cada individuo.",actividades tipo servicios,otras actividades de servicios personales,oc,habilitado
asistencia en biología acuícola,"ejecutar  actividades de apoyo en  la  producción y procesamiento de especies acuícolas  cumpliendo las norma de calidad, seguridad  y salud ocupacional y medio ambiente vigente. ","pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
asistencia en perforación en exploración minera,"asistir en el proceso de perforación con taladros de perforación en labores de exploración minera, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
"conducción de vehículos de 4 ruedas o mas, con capacidad de 26 asientos en adelante, diseñados para el transporte de pasajeros","realizar la conducción de vehículos de 4 ruedas o más diseñados para el transporte de pasajeros, con una capacidad de más de 26 asientos tomando en consideración la normativa de tránsito vigente y especificaciones técnicas del fabricante.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
conducción de vehículos livianos de seguridad y emergencia,conducir vehículos livianos de seguridad y emergencia; tomando en consideración la normativa de tránsito vigente y especificaciones técnicas establecidas.,"transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones auxiliares de mantenimiento de equipos eléctricos y electrónicos del buque,"realizar operaciones auxiliares en el mantenimiento eléctrico y electrónico de equipos y redes de fuerza de los buques, utilizando la información correspondiente como los procedimientos y las técnicas requeridas de acuerdo a las normas de prevención de riesgos laborales.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
impresiones en artes gráficas de documentos de seguridad,"imprimir documentos de seguridad con artes gráficas, según orden de producción, estándares de calidad y normativa legal vigente.","productos industriales, farmacéuticos y químicos",impresión y reproducción de grabaciones,oc,habilitado
operaciones auxiliares de refinación de minerales metálicos,asistir en la operación para la refinación de minerales metálicos de acuerdo a procedimientos establecidos y normativa vigente,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones de báscula,realizar operaciones de pesado con báscula de carga pesada de acuerdo a procedimientos establecidos y normativa vigente.,"transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones de carga al granel,"realizar transferencia de carga a granel sólido con equipo de carga/descarga según procedimientos de operación de equipos, seguridad y salud ocupacional.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones de post impresión en artes gráficas de documentos de seguridad,"realizar las operaciones de post impresión en artes gráficas de documentos de seguridad, según la orden de producción, estándares de calidad y normativa legal vigente.","productos industriales, farmacéuticos y químicos",impresión y reproducción de grabaciones,oc,habilitado
operaciones de ventilación en minería subterránea,"ejecutar los procesos de ventilación primaria y secundaria en minería subterránea, a través de la planificación de actividades inherentes, cumpliendo procedimientos establecidos y normativa vigente.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
producción agroecológica,"producir alimentos agroecológicos   en  sistemas  autónomos  tomando en consideración la conservación  del medio ambiente, la familia, agroforesteria, manejo ecológico del suelo, cultivos, crianzas, humedad, sistemas participativos de garantía y comercialización,    y dimensiones del enfoque agroecológico establecidas.",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
asistencia de auditoría,"realizar la revisión, evaluación y control de los procesos financieros, contables, operativos o técnicos de la organización y/o institución de acuerdo a la normativa vigente.",servicios financieros,actividades jurídicas y de contabilidad,oc,habilitado
supervisión a la gestión de la calidad del agua para consumo humano,"supervisar los sistemas de abastecimiento de agua para consumo humano, de acuerdo normativa legal vigente.","electricidad, gas y agua","captación, tratamiento y distribución de agua",oc,habilitado
supervisión de producción en minería subterránea,ejecutar actividades auxiliares de transporte de materiales peligrosos utilizados en la industria minera de acuerdo a procedimientos establecidos.,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
supervisión portuaria,"supervisar operaciones portuarias en los recintos portuarios y naves, según procedimientos de transferencia de carga, seguridad y salud ocupacional y normativa legal vigente.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
vigilancia de la calidad del agua para consumo humano,"vigilar la calidad del agua para consumo humano, de acuerdo a la normativa legal vigente.","electricidad, gas y agua","captación, tratamiento y distribución de agua",oc,habilitado
organización y gestión de la secretaria,administrar la información física y digital de oficina de acuerdo a procedimientos establecidos.,actividades tipo servicios,actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oc,habilitado
supervisión de almacenamiento,"organizar y controlar la recepción, almacenamiento y despacho de mercaderías administrando de manera eficiente los equipos y maquinarias disponibles en base a los requisitos, normas y procedimientos establecidos para el efecto","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
asistencia de contabilidad,"asistir en el registro y cálculo de la información financiera contable en empresas e instituciones públicas, privadas, con sujeción a las leyes, normas, principios y procedimientos contables, laborales, tributarios y mercantiles, de acuerdo al avance tecnológico, con eficacia, eficiencia, economía y ética profesional.",servicios financieros,actividades jurídicas y de contabilidad,oc,habilitado
técnicas para laboratorio clínico,"gestionar el trabajo en el laboratorio clínico, aplicando metodologías y técnicas pre-analíticas, analíticas y post analíticas para los análisis clínicos de muestras biológicas humanas, cumpliendo parámetros de calidad y bioseguridad.",actividades de salud,actividades de atención de la salud humana,oc,habilitado
destallado de calzado,"destallar piezas de calzado cortadas, rebajando al calibre deseado, de acuerdo a procedimientos establecidos","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
impresión 3d,"realizar el proceso gráfico de la impresión 3 d por medio de las tecnologías digitales, preparando y ajustando los elementos del proceso, las materias primas necesarias y los equipos que intervienen en el mismo, en condiciones de seguridad, calidad y productividad establecidas.",tecnología: hardware y software (incluye tic),impresión y reproducción de grabaciones,oc,habilitado
operaciones auxiliares de elaboración en la industria alimentaria,"realizar las operaciones de apoyo en los procesos productivos de: recepción y preparación de materias primas y productos auxiliares, elaboración y conservación de productos alimentarios, envasado y empaquetado, así como manejo de carretillas y dispositivos de transporte interno, cumpliendo la normativa aplicable.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
supervisión de recepción y almacenaje para la transformación de alimentos,"supervisar la recepción y el almacenamiento de las materias primas, insumos y productos terminados de acuerdo a normas vigentes.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
actividades terapéuticas florales,realizar actividades terapéuticas alternativas florales de acuerdo a requerimientos del usuario siguiendo procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
traducción e interpretación de idiomas,"realizar la traducción de un mensaje escrito o verbal de un idioma origen a un idioma destino de acuerdo a procesos, normas y/o técnicas.",actividades tipo servicios,"otras actividades profesionales, científicas y técnicas",oc,habilitado
técnicas en dj y producción musical,realizar sesiones musicales utilizando técnicas de animación musical y visual en vivo y en directo aplicando la normativa de prevención de riesgos laborales y ambientales,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
dirección de obras audiovisuales y cinematográficas,"dirigir la pre-producción, producción y post-producción de obras audiovisuales y cinematográficas con base a los requerimientos de producción.",actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
gestión bibliotecaria,"atender al usuario de una biblioteca realizando tareas de información y formación, préstamo y mantenimiento y conservación de los fondos de la colección y desarrollando actividades de extensión cultural y bibliotecaria, teniendo en cuenta criterios de calidad.",actividades tipo servicios,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
mediación cultural,"mediar el diálogo y propiciar la reflexión crítica con la comunidad en torno a cualquier manifestación o práctica cultural material e inmaterial mediante el diseño, implementación y evaluación de procesos educativos y/o participativos de acuerdo a los principios de los derechos culturales.",actividades comunitarias,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
museografía,ejecutar proyectos museográficos y conservación preventiva de las exhibiciones permanentes y temporales de los bienes culturales y patrimoniales públicos y privados para museos o espacios de exhibición de acuerdo a protocolos establecidos.,actividades comunitarias,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
conservación de parques,"preservar, conservar y vincular la diversidad biológica de las áreas silvestres protegidas con la comunidad, de acuerdo a normativa legal vigente, lineamientos y políticas institucionales, planificación y procedimientos definidos.",actividades comunitarias,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
promoción en recreación y deportes,"realizar la preparación y desarrollo de actividades físicas, lúdicas, recreativas y deportivas, así como procesos de entrenamiento y organización de festivales y torneos deportivos destinados a individuos, grupos y entidades públicas y privadas afines, para fomentar el mejoramiento del rendimiento deportivo y la calidad de vida.",actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
utilería de eventos artístico cultural,organizar los elementos que se utilizan en el evento de acuerdo a los requerimientos establecidos cumpliendo las normas de seguridad vigentes.,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
operaciones de ensamblaje y mantenimiento de equipos electrónicos,"realizar operaciones de ensamble, montaje, conexionado y mantenimiento en líneas de producción de sistemas y equipos electrónicos de telecomunicaciones, audio y video, digitales y micro programables; con criterios de calidad, eficiencia, prevención de riesgos laborales y protección medioambiental.",actividades tipo servicios,reparación de computadores y de efectos personales y enseres domésticos,oc,habilitado
peluquería y estética,"realzar y asesorar de forma integral la belleza del cliente (cabello, maquillaje, uñas, piel), tomando en consideración sus requerimientos y condiciones fisiológicas (edad, salud, género), cumpliendo con las normas de higiene, de seguridad y salud en el trabajo. comercializar productos cosméticos de imagen personal.",actividades comunitarias,otras actividades de servicios personales,oc,habilitado
peluquería e imagen personal,"mejorar la imagen personal del cliente, aplicando protocolos de trabajos técnicos de peluquería para el cuidado y el embellecimiento del cabello y técnicas complementarias de arreglo y rasurado de la barba y el bigote, en condiciones de calidad, seguridad e higiene óptimas.",actividades comunitarias,otras actividades de servicios personales,oc,habilitado
cuidado a personas con discapacidad severa,realizar actividades de cuidado a las personas con discapacidad severa de acuerdo a procedimientos y técnicas establecidas cumpliendo la normativa vigente.,actividades comunitarias,actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,oc,habilitado
supervisión de procesos de planta de beneficio en pequeña minería,"supervisar los procesos de la planta de beneficio de minerales metálicos en pequeña mineria, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
actividades de apoyo de vigilancia y control zoosanitario y manejo de mascotas de la provincia de galápagos,"ejecutar actividades de apoyo de vigilancia y control zoosanitario y manejo de mascotas en la provincia de galápagos, conforme normativa legal vigente.",actividades de salud,actividades veterinarias,oc,habilitado
actividades de inspección y cuarentena en puertos y aeropuertos de la provincia de galápagos,"ejecutar actividades de inspección y cuarentena en puertos y aeropuertos de la provincia de galápagos, conforme normativa legal vigente.",actividades tipo servicios,almacenamiento y actividades de apoyo al transporte,oc,habilitado
actividades de servicio de estacionamiento,"brindar el servicio de estacionamiento personalizado, resguardando la seguridad del vehículo de acuerdo a los procedimientos establecidos.",actividades tipo servicios,otras actividades de servicios personales,oc,habilitado
actividades para deportes de equipos,"participar en eventos deportivos de equipo resolviendo situaciones y desafíos que se generen en el juego, a través de la aplicación de fundamentos teóricos, técnicos, tácticos y de deportividad; logrando eficiencia en la percepción, decisión y definición en el juego.",actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
actividades terapéuticas con biomagnetismo,"realizar actividades terapéuticas alternativas con par biomagnético de acuerdo a requerimientos del usuario, siguiendo procedimientos establecidos.",actividades de salud,actividades de atención de la salud humana,oc,habilitado
actividades terapéuticas de reflexología,"realizar actividades terapéuticas alternativas de reflexologia, de acuerdo a requerimientos del usuario siguiendo procedimientos establecidos.",actividades de salud,actividades de atención de la salud humana,oc,habilitado
actividades terapéuticas en reiki,realizar actividades terapéuticas alternativas de reiki de acuerdo a requerimientos del usuario siguiendo procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
asesoría inmobiliaria,"realizar procesos de mediación, asesoramiento y gestión inmobiliaria relacionadas con la compraventa o alquiler de bienes inmuebles de acuerdo a necesidades del cliente y procedimientos establecidos cumpliendo la normativa vigente.",actividades tipo servicios,actividades inmobiliarias,oc,habilitado
conservación y manejo de recursos naturales,"realizar actividades de conservación y manejo de los recursos naturales, con criterio sustentable y sostenible de la biodiversidad y sus servicios ecosistémicos en el territorio nacional, aplicando técnicas, normas, procedimientos y demás herramientas, promoviendo la participación de actores locales.",actividades tipo servicios,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
conservería,"realizar operaciones de elaboración, envasado y aplicación de tratamientos de conservación de alimentos de acuerdo a la normativa vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
coordinación en manejo de energía eléctrica,"coordinar un grupo de trabajo en actividades de generación, transmisión, subtransmisión, distribución y comercialización, conforme protocolos y ordenes de trabajo establecidas.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
ejecución de técnicas y procedimientos para la atención en emergencias obstétricas,ejecutar actividades de atención de emergencias obstétricas de acuerdo a las disposiciones del coordinador del equipo,actividades de salud,actividades de atención de la salud humana,oc,habilitado
gestión de mantenimiento,"gestionar el mantenimiento preventivo, predictivo y correctivo de maquinaria y equipos de acuerdo a los procedimientos de la empresa.",actividades tipo servicios,reparación e instalación de maquinaria y equipo,oc,habilitado
serigrafía,"realizar la impresión o estampado de diseños en sustratos bajo normas de calidad, seguridad y salud en el trabajo y medio ambiente.","productos textiles, cuero y calzado",impresión y reproducción de grabaciones,oc,habilitado
apoyo en procesos de fundición,"realizar operaciones básicas de fabricación, así como, alimentar y asistir a los procesos de mecanizado, montaje y fundición automatizados, con criterios de calidad, seguridad y respeto al medio ambiente.",metalmecánica,fabricación de metales comunes,oc,habilitado
tramoyista,realizar montajes y desmontajes de elementos escénicos de una producción y manejar la maquinaria escénica y escenografía durante ensayos y espectáculos,actividades tipo servicios,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
vulcanización,"realizar la planificación, organización y ejecución del servicio de mantenimiento y reparación de llantas neumáticos) de los automotores, aplicando normas establecidas de calidad, atención al cliente, seguridad y cuidado del medio ambiente.","vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oc,habilitado
operaciones auxiliares de molienda,"realizar los procesos auxiliares de molienda en labores mineras, de acuerdo a normas y procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones auxiliares de trituración de material de mena,"realizar los procesos auxiliares de trituraciòn  de material de mena,  de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones auxiliares de voladura a cielo abierto y subterránea,"ejecutar operaciones auxiliares en mina de cielo abierto y subterránea en las actividades de voladura, aplicando los diferentes sistemas de iniciación, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones auxiliares en procesos de planta de beneficio,"ejecutar operaciones auxiliares en mina de cielo abierto y subterránea en las actividades de voladura, aplicando los diferentes sistemas de iniciación, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones de perforación manual con martillo neumático a cielo abierto y subterránea,"ejecutar labores mineras manuales de perforación con martillo neumático a cielo abierto y subterránea, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
asistencia de preparaciones gastronómicas en panadería y pastelería,"asistir en actividades de operación de panadería y pastelería de acuerdo con los requerimientos establecidos, procedimientos y técnicas de elaboración en panadería y pastelería, normas de seguridad y salud en el trabajo, manipulación de alimentos y bajo la supervisión de jefe inmediato.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operación de maquinaria de envasado y empaque de productos farmacéuticos,"operar los equipos y/o maquinaria para el envase y empacado de los productos farmacéuticos de acuerdo a orden de producción, cumpliendo los protocolos establecidos de buenas prácticas de manufactura, normas de seguridad y medio ambiente.","productos industriales, farmacéuticos y químicos","fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",oc,habilitado
organización y control de la fabricación de sustancias y productos químicos,"realizar la organizacion y control de las operaciones de fabricacion de sustancias y productos quimicos, procesos de generacion de energia y servicios auxiliares, asegurando el cumplimiento de los planes de produccion y las condiciones de seguridad, calidad y ambiente.","productos industriales, farmacéuticos y químicos",fabricación de substancias y productos químicos,oc,habilitado
instalación y mantenimiento de locaciones petroleras,"realizar actividades de soporte y mantenimiento de la infraestructura de locaciones petroleras, siguiendo las directrices de los programas del taller de mantenimiento por niveles de supervisión.","minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
asistencia de balcón de servicios,"asesorar de manera personalizada a los clientes en los diferentes requerimientos solicitados, proporcionando información sobre los productos y servicios financieros ofrecidos por la institución de acuerdo a los procedimientos establecidos.",servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
prevención de riesgos laborales,ejecutar actividades laborales en condiciones de trabajo seguro acorde a normativas legales y técnicas vigentes.,actividades tipo servicios,"otras actividades profesionales, científicas y técnicas n.c.p.",oc,habilitado
operación de sistemas de riego parcelario,"operar el sistema de riego parcelario en función del tipo de infraestructura, acuerdos sociales establecidos y procedimientos técnicos.",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
inspección de afiliación a la seguridad social,"verificar el cumplimiento de obligaciones de afiliación a la seguridad social, dentro del marco técnico y jurídico, de acuerdo a los requerimientos internos y externos del proceso de inspección de la entidad reguladora cumpliendo la normativa vigente.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
metrología industrial,"realizar la calibración y/o ensayo, control, mantenimiento de los instrumentos de medición garantizando la calidad de acuerdo a procedimientos establecidos.",actividades tipo servicios,"fabricación de productos de informática, electrónica y óptica",oc,habilitado
asistencia en gestión documental y archivo,"asistir en las actividades de gestión documental y archivo, de acuerdo a los procedimientos establecidos y normativa vigente.",actividades tipo servicios,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
patronaje de calzado,elaborar moldes para el corte del calzado en base a diseños definidos mediante la aplicación de las técnicas de patronales y producción.,"productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
"operaciones de sistemas de captación, conducción, tratamiento y almacenamiento de agua potable","poner en servicio y operación los sistemas de captación, conducción, potabilización y almacenamiento de agua potable, atendiendo a exigencias de calidad, control, gestión, seguridad industrial y salud ocupacional.","electricidad, gas y agua","captación, tratamiento y distribución de agua",oc,habilitado
cuidado de personas adultas mayores,cuidar a las personas adultas mayores acorde a sus necesidades individuales determinadas por profesionales socio sanitarios cumpliendo la normativa legal vigente,actividades tipo servicios,actividades de asistencia social sin alojamiento,oc,habilitado
administración de sistemas de riego parcelario,"administrar la operación, mantenimiento y recursos del sistema de riego parcelario, de acuerdo a la normativa vigente",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
asesoría de proyectos integrales de riego parcelario,"asesorar en proyectos integrales de sistemas de riego parcelario de acuerdo al entorno socio-organizativo, desarrollo agro-productivo en zonas bajo riego",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
asistencia de laboratorio minero metalúrgico,realizar actividades de apoyo de laboratorio minero - metalúrgico de acuerdo a la normativa legal vigente.,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones grafológicas,"realizar informe grafológico con la obtención de la muestra gráfica y su análisis e interpretación, independientemente de la cultura, idioma, edad, nacionalidad, etc., de acuerdo a parámetros establecidos por los especialistas en el ámbito.",actividades tipo servicios,actividades de seguridad e investigación,oc,habilitado
peritaje grafológico,"realizar el peritaje de la muestra grafológica mediante la elaboración del informe grafológico y/o peritaje de su autor, respetando los estándares internacionales de aplicación, toma e interpretación de la muestra grafológica.",actividades tipo servicios,actividades de seguridad e investigación,oc,habilitado
corrección de texto,"corregir textos según las normas académicas vigentes, los manuales de estilo y los requerimientos de quien solicita el trabajo.",actividades tipo servicios,actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oc,habilitado
cremación,realizarladesintegracióndelcadávermediantehornocrematoriocumpliendo las normas de bioseguridad establecidas.,actividades tipo servicios,otras actividades de servicios personales,oc,habilitado
gestión de servicios exequiales,gestionar los procesos de los servicios exequiales de acuerdo a requerimientos establecidos cumpliendo la normativa vigente.,actividades tipo servicios,otras actividades de servicios personales,oc,habilitado
tanatopraxia,"realizar la higienización, conservación, embalsamamiento, restauración, reconstrucción y cuidado estético del cadáver de acuerdo a métodos y técnicas establecidas cumpliendo la normativa de manejo de cadáveres vigente.",actividades tipo servicios,otras actividades de servicios personales,oc,habilitado
certificación de trámites administrativos en el servicio público,certificar la autenticidad de la documentación física y digital presentada por los usuarios de acuerdo a procedimientos establecidos por la administración pública y cumpliendo la normativa vigente.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
ejecución de técnicas de medicina operacional táctica para personal militar no sanitario,"apoyar en la atención inicial de victimas durante la ejecución de operaciones militares (internas y externas) y asistencia en desastres, de acuerdo a técnicas y procedimientos establecidos.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
instrucción deportiva,"dirigir el proceso de desarrollo de capacidades técnico, táctico y rendimiento de personas o grupo en fución de una disciplina deportiva, actividad física o recreativa.",enseñanza,enseñanza,oc,habilitado
asistencia de preparación gastronómica en cocina,"asistr en la ejecución de los procedimientos de pre-elaboración, elaboración y montaje de alimentos conforme la supervisión del jefe inmediato, métodos, ténicas de cocción, protocolos establecidos y normativa vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
manejo de técnicas de medicina operacional táctica para personal militar sanitario,"efectuar la atención inicial de victimas durante la ejecución de operaciones militares (internas y externas) y asistencia en desastres, de acuerdo a normas, técnicas y procedimientos establecidos.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
