,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil,Descargar Esquema
112,GESTIÓN DE UNIDADES CANINAS,"ADMINISTRAR LOS RECURSOS HUMANOS, CANINOS, FINANCIEROS, MATERIALES Y OPERACIONES DE LAS UNIDADES CANINAS DE ACUERDO CON LA NORMATIVA NACIONAL E INTERNACIONAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
113,INSTALACIÓN DE EQUIPOS Y MÁQUINAS ELÉCTRICAS,"REALIZAR LA CONSTRUCCIÓN Y MANTENIMIENTO DE LÍNEAS E INSTALACIONES DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA EN MEDIA Y BAJA TENSIÓN, CÁMARAS DE TRANSFORMACIÓN E INSTALACIONES DE SERVICIOS ESPECIALES Y DE AUTOMATIZACIÓN DE EDIFICIOS, ASÍ COMO LA CONSTRUCCIÓN, ENSAYO Y MANTENIMIENTO DE MÁQUINAS ELÉCTRICAS, APLICANDO LOS PROCEDIMIENTOS TÉCNICOS ESTABLECIDOS Y LAS NORMAS DE SEGURIDAD E HIGIENE EN EL TRABAJO.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,,
114,CONSERVACIÓN Y MANEJO DE RECURSOS NATURALES,"REALIZAR ACTIVIDADES DE CONSERVACIÓN Y MANEJO DE LOS RECURSOS NATURALES, CON CRITERIO SUSTENTABLE Y SOSTENIBLE DE LA BIODIVERSIDAD Y SUS SERVICIOS ECOSISTÉMICOS EN EL TERRITORIO NACIONAL, APLICANDO TÉCNICAS, NORMAS, PROCEDIMIENTOS Y DEMÁS HERRAMIENTAS, PROMOVIENDO LA PARTICIPACIÓN DE ACTORES LOCALES.",ACTIVIDADES TIPO SERVICIOS,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
115,PREPARACIÓN GASTRONÓMICA DE COCINA,"EJECUTAR PROCESOS DE PRE-ELABORACIÓN, ELABORACIÓN Y MONTAJE DE ALIMENTOS DE ACUERDO CON LOS PROTOCOLOS ESTABLECIDOS Y LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
116,OPERACIONES DE ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS ELECTRÓNICOS,"REALIZAR OPERACIONES DE ENSAMBLE, MONTAJE, CONEXIONADO Y MANTENIMIENTO EN LÍNEAS DE PRODUCCIÓN DE SISTEMAS Y EQUIPOS ELECTRÓNICOS DE TELECOMUNICACIONES, AUDIO Y VIDEO, DIGITALES Y MICRO PROGRAMABLES; CON CRITERIOS DE CALIDAD, EFICIENCIA, PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN MEDIOAMBIENTAL.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,,
117,INSTALACIÓN DE PAREDES Y TECHOS FALSOS,"INSTALAR PAREDES Y TECHOS FALSOS EN FUNCIÓN DE LOS PLANOS DE OBRA, LAS ESPECIFICACIONES DEL FABRICANTE Y DEL PROYECTO, LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
118,OPERACIONES DE ESCOLTA MOTORIZADA DE DIGNATARIOS,BRINDAR SERVICIO DE SEGURIDAD VIAL DURANTE EL DESPLAZAMIENTO DE DIGNATARIOS EN BASE A PROCEDIMIENTO ESTABLECIDO Y  NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
119,OPERACIONES DE CARTOGRAFÍA,ELABORAR PRODUCTOS CARTOGRÁFICOS MULTIESCALA DE ACUERDO A REQUERIMIENTOS Y PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS,,
120,FACILITACIÓN EN LA ATENCIÓN A PERSONAS CON DISCAPACIDAD,REALIZAR ACCIONES PARA EL DESARROLLO DE HABILIDADES Y DESTREZAS PROMOVIENDO LA INDEPENDENCIA Y AUTONOMÍA DE LA PERSONA CON DISCAPACIDAD CONSIDERANDO LA NORMATIVA VIGENTE.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES,,
121,ACTIVIDADES TERAPÉUTICAS CON BIOMAGNETISMO,"REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS CON PAR BIOMAGNÉTICO DE ACUERDO A REQUERIMIENTOS DEL USUARIO, SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
122,INSTALACIÓN Y MANTENIMIENTO DE EQUIPOS ELECTRÓNICOS Y ELÉCTRICOS,"REALIZAR LA INSTALACIÓN Y MANTENIMIENTO DE EQUIPOS ELECTRÓNICOS DE CONSUMO, DE SONIDO E IMAGEN, MICROINFORMATICOS Y DE TELECOMUNICACIÓN REALIZANDO EL SERVICIO TECNICO POSVENTA EN CONDICIONES DE CALIDAD Y TIEMPO DE RESPUESTA ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,,
123,OPERACIONES DE INVESTIGACIÓN DE ACCIDENTES DE TRÁNSITO,"INVESTIGAR LOS ACCIDENTES DE TRÁNSITO, DE ACUERDO A PROCEDIMIENTOS TÉCNICOS Y CIENTÍFICOS DE CRIMINALÍSTICA VIAL Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
124,ACTIVIDADES DE APOYO PARA LA PROMOCIÓN EN RECREACIÓN Y DEPORTES,"PARTICIPAR EN LAPROMOCIÓN DE ACTIVIDADES FÍSICAS,RECREATIVAS Y DEPORTIVAS FORMATIVAS-RECREATIVAS,ASÍ COMO EN PROCESOS DE ORGANIZACIÓN DE ENCUENTROS RECREATIVOS Y DEPORTIVOS DESTINADOS A INDIVIDUOS, GRUPOS Y ENTIDADES PÚBLICAS Y PRIVADAS, PARA EL MEJORAMIENTO DE LA CALIDAD DE VIDA Y EL BIENESTAR DE LA POBLACIÓN.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",,
125,ATENCIÓN Y TRASLADO DE HUÉSPED,ATENDER AL HUÉSPED EN LA ENTRADA Y SALIDA DEL ESTABLECIMIENTO OFRECIENDO ATENCIÓN PERSONALIZADA E INFORMACIÓN DE ACUERDO A LA NORMATIVA LEGAL VIGENTE Y PROTOCOLOS ESTABLECIDOS,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO,,
126,OPERACIONES EN SERVICIO DE ALIMENTOS Y BEBIDAS,REALIZAR EL SERVICIO DE ALIMENTOS Y BEBIDAS DE ACUERDO A PROTOCOLOS ESTABLECIDOS Y LA NORMATIVA VIGENTE,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA,,
127,COORDINACIÓN EN CENTROS DE DESARROLLO INFANTIL,"DIRIGIR LAS ACTIVIDADES DEL CENTRO DE DESARROLLO INFANTIL, PROMOVIENDO ACCIONES DE PROTECCIÓN, CUIDADO Y DESARROLLO INTEGRAL DE NIÑOS DE 0 A 36 MESES DE EDAD Y FAMILIAS DE ACUERDO A LO ESTABLECIDO EN LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,,
128,ATENCIÓN INTEGRAL EN CENTRO DE DESARROLLO INFANTIL,"REALIZAR LA ATENCIÓN INTEGRAL (CUIDADO, DESARROLLO Y APRENDIZAJE) DE NIÑOS DE 12 A 36 MESES DE EDAD EN LOS CENTROS DE DESARROLLO INFANTIL (CDI); PROMOVIENDO ACCIONES DE PROTECCIÓN DE ACUERDO A LOS LINEAMIENTOS ESTABLECIDO EN LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,,
129,OPERACIONES EN TURISMO RECEPTIVO,ASESORAR EN EL PAQUETE TURÍSTICO NACIONAL DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS",,
130,CALZADO Y MARROQUINERÍA,"ELABORAR PATRONES AJUSTADOS AL DISEÑO DE LOS DIFERENTES MODELOS Y PRODUCIR INDUSTRIALMENTE EL CORTE, ENSAMBLAJE, MONTADO Y ACABADO DE CALZADO Y DE ARTÍCULOS DE MARROQUINERÍA, SEGÚN LA INTERPRETACIÓN DE LAS FICHAS TÉCNICAS Y ÓRDENES DE FABRICACIÓN, LOGRANDO EL ÓPTIMO RENDIMIENTO DE LOS MEDIOS Y MATERIALES REQUERIDOS, PRODUCIÉNDOLOS EN CANTIDAD Y CALIDAD, EN LOS PLAZOS ESTABLECIDOS Y EN CONDICIONES DE SEGURIDAD.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,,
131,CONDUCTOR PROFESIONAL DE BUS - NTE INEN 2 463: 2008,"EL CONDUCTOR DE TRANSPORTE TURÍSTICO TERRESTRE SE OCUPA, PRINCIPALMENTE, DE TRASLADAR A LOS TURISTAS EN VEHÍCULOS TIPO AUTOBÚS, FURGONETA Y AUTOMÓVIL, EN AMBIENTES URBANOS, CARRETERAS RURALES, PARA EXCURSIONES, PASEO LOCAL, TRASLADOS Y DESPLAZAMIENTOS ESPECIALES.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS,,
132,ACTIVIDADES TERAPÉUTICAS DE REFLEXOLOGÍA,"REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS DE REFLEXOLOGIA, DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
133,OPERACIONES PARA DESPACHO DE EMERGENCIAS,"EJECUTAR ACTIVIDADES DE LA ASIGNACIÓN DE RECURSOS DE ACUERDO A LA INFORMACIÓN RECIBIDA A TRAVÉS DE LA PLATAFORMA TECNOLÓGICA ANTE INCIDENTES, EMERGENCIAS, DESASTRES O EVENTOS PELIGROSOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
134,OPERACIONES DE AUDIO EN EVENTOS ARTÍSTICOS,"MANEJAR LOS SISTEMAS DE AUDIO REQUERIDOS EN EL REGISTRO, REPRESENTACIÓN Y TRANSMISIÓN DE EVENTOS DE ARTES ESCÉNICAS Y AUDIOVISUALES, DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS Y ATENDIENDO LAS POLÍTICAS, PRÁCTICAS VIGENTES.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",,
135,OPERACIONES GEODÉSICAS,"OBTENER INFORMACIÓN GEODÉSICA MEDIANTE LA OPERACIÓN DE EQUIPOS Y SOFTWARE ESPECIALIZADO, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS,,
136,ACOMPAÑAMIENTO A LA NIÑA NIÑO Y ADOLESCENTE EN CASAS DE ACOGIDA,"BRINDAR ACOMPAÑAMIENTO EN LOS ÁMBITOS DE: ADAPTACIÓN, EDUCACIÓN, SALUD Y CONTENCIÓN EMOCIONAL PARA LA RESTITUCIÓN DE DERECHOS DE LAS NIÑAS, NIÑOS Y ADOLESCENTES DE LAS ENTIDADES DE ACOGIMIENTO INSTITUCIONAL DE ACUERDO CON LA NORMATIVA VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES,,
137,EVALUACIÓN DE OPERACIONES DE EMERGENCIA,REALIZAR LA EVALUACIÓN DEL REPORTE DE ALERTAS DE EMERGENCIAS MEDIANTE LA INFORMACIÓN REGISTRADA A TRAVÉS DE LA PLATAFORMA TECNOLÓGICA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
138,COORDINACIÓN TÉCNICA Y LOGÍSTICA PARA EL LEVANTAMIENTO DE DAÑOS Y NECESIDADES POR EVENTOS PELIGROSOS,SUPERVISAR LOS ASPECTOS TÉCNICOS Y LOGÍSTICOS PARA CONDUCIR EL TRABAJO DE EVALUACIÓN DE LA ZONA AFECTADA POR UN EVENTO PELIGROSO DE ACUERDO CON NORMATIVA VIGENTE Y LA METODOLOGÍA NACIONAL E INTERNACIONAL ESTABLECIDA.,ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,,
139,PERITAJE GRAFOLÓGICO,"REALIZAR EL PERITAJE DE LA MUESTRA GRAFOLÓGICA MEDIANTE LA ELABORACIÓN DEL INFORME GRAFOLÓGICO Y/O PERITAJE DE SU AUTOR, RESPETANDO LOS ESTÁNDARES INTERNACIONALES DE APLICACIÓN, TOMA E INTERPRETACIÓN DE LA MUESTRA GRAFOLÓGICA.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,,
140,ASISTENCIA EN GESTIÓN DOCUMENTAL Y ARCHIVO,"ASISTIR EN LAS ACTIVIDADES DE GESTIÓN DOCUMENTAL Y ARCHIVO, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",,
141,ARMADO DE ESTRUCTURAS METÁLICAS,"REALIZAR EL ARMADO, MONTAJE Y ACABADO DE ESTRUCTURAS METÁLICAS CONFORME AL DISEÑO Y ESPECIFICACIONES TÉCNICAS REQUERIDAS, CUMPLIENDO CON NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",,
142,ACTVIDADES DE PROMOCIÓN COMUNITARIA DE REDUCCIÓN DEL RIESGOS DE DESASTRES,"PROMOVER ACCIONES PARA LA ORGANIZACIÓN Y FORTALECIMIENTO COMUNITARIO EN REDUCCIÓN DE RIESGO DE DESASTRES DE ACUERDO CON LA NORMATIVA VIGENTES, GUÍAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,,
143,GESTION INTEGRAL DE RIESGOS FINANCIEROS,GESTIONAR LOS RIESGOS DENTRO Y FUERA DEL BALANCE PARA EVITAR AFECTACIONES ECONÓMICAS EN EL PATRIMONIO DE LAS INSTITUCIONES CONSIDERANDO LA NORMATIVA NACIONAL Y LAS MEJORAS PRÁCTICAS INTERNACIONALES.,SERVICIOS FINANCIEROS,ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS,,
144,ACTIVIDADES DE APOYO DE VIGILANCIA Y CONTROL ZOOSANITARIO Y MANEJO DE MASCOTAS DE LA PROVINCIA DE GALÁPAGOS,"EJECUTAR ACTIVIDADES DE APOYO DE VIGILANCIA Y CONTROL ZOOSANITARIO Y MANEJO DE MASCOTAS EN LA PROVINCIA DE GALÁPAGOS, CONFORME NORMATIVA LEGAL VIGENTE.",ACTIVIDADES DE SALUD,ACTIVIDADES VETERINARIAS,,
145,OPERACIONES AUXILIARES EN LIMPIEZA DE UNIDADES DE SALUD,REALIZAR LA LIMPIEZA Y MANEJO DE DESECHOS DE LAS UNIDADES DE SALUD DE ACUERDO A LA NORMATIVA LEGAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,,
146,OPERACIONES DE CONTROL DE TRÁNSITO Y TRANSPORTE TERRESTRE,CONTROLAR LA MOVILIDAD TERRESTRE DE ACUERDO A LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
147,OPERACIONES DE CAMARÓGRAFO,CAPTAR IMÁGENES Y SONIDOS MEDIANTE LA OPERACIÓN DE CÁMARAS DE VIDEO DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS PARA EL USO DE LOS MEDIOS DE COMUNICACIÓN.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",,
148,SERVICIO DE VINOS Y LICORES,"GESTIONAR EL SERVICIO DE VINOS, SUS DERIVADOS (ESPUMANTES, BRANDI, GRAPAS, COÑAC, OPORTO), LICORES, ALCOHOLES NOBLES Y BEBIDAS GOURMET Y SU MARIDAJE, EN FUNCIÓN DE LA PROPUESTA GASTRONÓMICA REQUERIDA, PROCEDIMIENTOS Y NORMATIVA ESTABLECIDA.",TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA,,
149,ADMINISTRACIÓN DE EMPRESAS,"GESTIONAR LAS DISTINTAS AREAS DE LA EMPRESA EN NIVELES DE ESTRATEGIA, OPERACIÓN Y ADMINISTRACIÓN, ESTABLECIENDO OBJETIVOS E INDICADORES DE GESTIÓN EN RELACIÓN A LAS TENDENCIAS DEL MERCADO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,,
150,GESTIÓN ADMINISTRATIVA DEL SISTEMA DE SALUD DESCONCENTRADO,"GESTIONAR LA FUNCIONALIDAD DEL MODELO DE ATENCIÓN INTEGRAL DE SALUD, MEDIANTE LA COORDINACIÓN, SUPERVISIÓN Y CONTROL DE LOS PROCESOS AGREGADORES DE VALOR Y HABILITANTES DE APOYO Y ASESORÍA, EN SU JURISDICCIÓN.",ACTIVIDADES DE SALUD,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
151,OPERACIONES DE INVESTIGACIÓN DE ASUNTOS INTERNOS,"REALIZAR LAS OPERACIONES DE INVESTIGACIÓN DE ASUNTOS INTERNOS AL PERSONAL DEL CUERPO DE VIGILANTES Y EMPLEADOS CIVILES, EN BASE A LA LEY, PRINCIPIOS Y VALORES ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
152,OPERACIONES GRAFOLÓGICAS,"REALIZAR INFORME GRAFOLÓGICO CON LA OBTENCIÓN DE LA MUESTRA GRÁFICA Y SU ANÁLISIS E INTERPRETACIÓN, INDEPENDIENTEMENTE DE LA CULTURA, IDIOMA, EDAD, NACIONALIDAD, ETC., DE ACUERDO A PARÁMETROS ESTABLECIDOS POR LOS ESPECIALISTAS EN EL ÁMBITO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,,
153,ASESORÍA DE PROYECTOS INTEGRALES DE RIEGO PARCELARIO,"ASESORAR EN PROYECTOS INTEGRALES DE SISTEMAS DE RIEGO PARCELARIO DE ACUERDO AL ENTORNO SOCIO-ORGANIZATIVO, DESARROLLO AGRO-PRODUCTIVO EN ZONAS BAJO RIEGO",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
154,GESTIÓN DE TURISMO RURAL,"GESTIONAR LAS OPERACIONES TURÍSTICAS EN ESPACIOS RURALES Y COMUNITARIOS DE ACUERDO A LAS NORMAS BÁSICAS DE SEGURIDAD, HIGIENE, SOCIOCULTURAL, POLITICO Y AMBIENTAL",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS",,
155,OPERACIONES DE SISTEMAS DE REFRIGERACIÓN O AIRE ACONDICIONADO,"REALIZAR LA INSTALACIÓN Y MANTENIMIENTO DE SISTEMAS DE REFRIGERACIÓN O AIRE ACONDICIONADO MEDIANTE LA APLICACIÓN DE BUENAS PRÁCTICAS DE ACUERDO A LA CLASIFICACIÓN DE SEGURIDAD DEL REFRIGERANTE, RECOMENDACIONES DEL FABRICANTE Y NORMATIVA AMBIENTAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",,
156,OPERACIONES DE MANUFACTURA DE PRODUCTOS LACTEOS,"REALIZAR LAS OPERACIONES DE LOS PROCESOS DE ELABORACIÓN DE LOS PRODUCTOS LÁCTEOS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS, NORMAS DE CALIDAD, HIGIENE Y SANIDAD",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
157,OPERACIONES DE PROTECCIÓN DE PARQUES Y RESERVAS,"REALIZAR LA CONSERVACIÓN, RESTAURACIÓN Y PROTECCIÓN DE LA DIVERSIDAD BIOLÓGICA DE LAS ÁREAS PROTEGIDAS IMPLEMENTANDO ESTRATEGIAS DE MANEJO SUSTENTABLE Y SOSTENIBLE DE LOS RECURSOS NATURALES DE ACUERDO A NORMATIVA LEGAL VIGENTE, LINEAMIENTOS, POLÍTICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ALOJAMIENTO,,
158,PRODUCCIÓN Y MANTENIMIENTO DE PLANTAS EN VIVEROS,"DESARROLLAR EL PROCESO DE PRODUCCIÓN Y MANTENIMIENTO DE DISTINTAS ESPECIES Y VARIEDADES DE PLANTAS EN CONDICIONES CONTROLADAS EN VIVERO, DE ACUERDO A CRITERIOS TÉCNICOS Y NORMATIVA AMBIENTAL VIGENTE",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
159,ADMINISTRACIÓN DE SISTEMAS DE RIEGO PARCELARIO,"ADMINISTRAR LA OPERACIÓN, MANTENIMIENTO Y RECURSOS DEL SISTEMA DE RIEGO PARCELARIO, DE ACUERDO A LA NORMATIVA VIGENTE",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
160,REVESTIMIENTO DE SUPERFICIES HORIZONTALES Y VERTICALES,"REVESTIR SUPERFICIES HORIZONTALES O VERTICALES CON UN DETERMINADO MATERIAL APLICANDO NORMAS TÉCNICAS DE LA CONSTRUCCIÓN, DE SEGURIDAD Y SALUD EN EL TRABAJO, DE MEDIO AMBIENTE VIGENTES Y LAS ESPECIFICACIONES ESTABLECIDAS EN EL PROYECTO DE LA OBRA.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
161,MECANIZADO Y CONSTRUCCIONES METÁLICAS,REALIZAR LAS DISTINTAS OPERACIONES EN LOS PROCESOS DE MECANIZADO Y DE CONSTRUCCIONES METALICAS VERIFICANDO LA CALIDAD DE LOS PRODUCTOS OBTENIDOS VERIFICANDO EL FUNCIONAMIENTO DE PUESTA EN MARCHA Y PARADA DE LOS EQUIPOS EN CONDICIONES DE SEGURIDAD Y ESTANDAREZ DE CALIDAD.,METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",,
162,APARADOR DE CALZADO,REALIZAR EL ENSAMBLE O UNIÓN DE LAS PIEZAS DE CORTE SIGUIENDO ESPECIFICACIONES DEL DISEÑO DEL PRODUCTO O MODELO DE ACUERDO A NORMAS DE SEGURIDAD INDUSTRIAL.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,,
163,"CONDUCCIÓN DE VEHÍCULOS DE 4 RUEDAS O MAS, CON CAPACIDAD DE 26 ASIENTOS EN ADELANTE, DISEÑADOS PARA EL TRANSPORTE DE PASAJEROS","REALIZAR LA CONDUCCIÓN DE VEHÍCULOS DE 4 RUEDAS O MÁS DISEÑADOS PARA EL TRANSPORTE DE PASAJEROS, CON UNA CAPACIDAD DE MÁS DE 26 ASIENTOS TOMANDO EN CONSIDERACIÓN LA NORMATIVA DE TRÁNSITO VIGENTE Y ESPECIFICACIONES TÉCNICAS DEL FABRICANTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,,
164,OPERACIONES EN TURISMO EMISIVO,"PROCESAR PAQUETES DE SERVICIO TURÍSTICO INTERNACIONAL CONTRATADO, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS",,
165,GESTIÓN PROTOCOLAR PARA EL DESARROLLO DE EVENTOS,"COORDINAR LA GESTIÓN PROTOCOLAR PARA EL DESARROLLO DE EVENTOS, ESTABLECIENDO PROCEDIMIENTOS Y REQUERIMIENTOS DE ACUERDO ALOS OBJETIVOS ESPERADOS",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,,
