Perfil,Competenecia Laboral,Familia,Sector
PROYECTOS DE INSTALACIÓN Y AMUEBLAMIENTO,"REALIZAR TRABAJOS DE DESARROLLAR PROYECTOS DE AMUEBLAMIENTO E INSTALACIÓN DE CARPINTERÍA Y MUEBLE EN VIVIENDAS Y LOCALES PÚBLICOS, INCLUYENDO LA SUPERVISIÓN DE LA INSTALACIÓN Y DE LAS OPERACIONES NECESARIAS PARA ELLO, CONSIGUIENDO LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, DE SALUD LABORAL Y DE MEDIO AMBIENTE ADECUADAS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES
ELABORACIÓN DE ARTÍCULOS DE PLATERÍA,"DESARROLLAR LA PRODUCCIÓN DE ARTÍCULOS DE PLATERÍA, DE ACUERDO A LOS PROCEDIMIENTOS DE CALIDAD DE LA PIEZA Y NORMAS DE PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN MEDIOAMBIENTAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",OTRAS INDUSTRIAS MANUFACTURERAS
INSTRUMENTOS MUSICALES DE VIENTO,"PRODUCIR INSTRUMENTOS MUSICALES DE VIENTO, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
ARTESANÍA EN BARRO,"ELABORAR PIEZAS ARTESANALES DE BARRO DE FORMA MANUAL O MOLDEADA POR MASA PLÁSTICA, SIGUIENDO LAS INSTRUCCIONES TÉCNICAS DADAS Y LA NORMATIVA SOBRE RIESGOS LABORALES Y GESTIÓN AMBIENTAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
"ARTESANÍAS EN TAGUA, MADERA, HUESO Y CONCHA DE COCO","PRODUCIR MINIATURAS EN TAGUA, MADERA, HUESO Y CONCHA DE COCO, MEDIANTE TÉCNICAS ANCESTRALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL. GESTIONAR UN TALLER Y COMERCIALIZAR LOS PRODUCTOS.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
ELABORACIÓN DE FIGURAS DE MAZAPÁN,"ELABORAR FIGURAS DE MAZAPÁN DESARROLLANDO TÉCNICAS ANCESTRALES E INNOVANDO, CUMPLIENDO NORMATIVAS VIGENTES.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
SUPERVISIÓN DE OPERACIONES LOGÍSTICAS,"REALIZAR OPERACIONES DE SUPERVISIÓN EN CENTROS DE DISTRIBUCIÓN O EMPRESAS LOGÍSTICAS, ADMINISTRANDO LA CADENA DE ABASTECIMIENTO Y CUMPLIENDO LAS NORMAS DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
MANTENIMIENTO DE MÁQUINAS Y EQUIPOS INDUSTRIALES DE CONFECCIÓN TEXTIL,"MANTENER Y REPARAR MÁQUINAS Y EQUIPOS INDUSTRIALES DE CONFECCIÓN TEXTIL, APLICANDO: CATÁLOGOS, PLANOS DE FABRICACIÓN, NORMAS DE: SALUD OCUPACIONAL, SEGURIDAD INDUSTRIAL Y CONSERVACIÓN AMBIENTAL; ASÍ COMO DE ASESORAR SOBRE LA INSTALACIÓN BÁSICA, EL USO CORRECTO Y APLICACIÓN DE MÁQUINAS Y EQUIPOS INDUSTRIALES DE CONFECCIÓN TEXTIL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
SERVICIO TÉCNICO DE EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS,"REALIZAR OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
INSTALACIÓN Y MANTENIMIENTO DE SISTEMAS DOMÓTICOS,"REALIZAR EL MONTAJE Y MANTENIMIENTO DE SISTEMAS DOMÓTICOS, APLICANDO LAS TÉCNICAS Y LOS PROCEDIMIENTOS REQUERIDOS, CONSIGUIENDO LOS CRITERIOS DE CALIDAD, CUMPLIENDO LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y NORMATIVA DE LA EMPRESA.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
GESTIÓN EN MECÁNICA NAVAL,"MONTAR ESTRUCTURAS AERONÁUTICAS E INSTALAR SISTEMAS Y EQUIPOS EN AERONAVES, REALIZANDO OPERACIONES DE DESMONTAJE, MECANIZADO, LIMPIEZA Y SELLADO DE DEPÓSITOS Y OTROS ELEMENTOS A UNIR, ASÍ COMO CONEXIONAR, REGLAR Y COMPROBAR LOS EQUIPOS DE VUELO, SIGUIENDO INSTRUCCIONES DE TÉCNICOS SUPERIORES Y PROCEDIMIENTOS ESTABLECIDOS; CUMPLIENDO CON LOS CRITERIOS Y NORMAS DE CALIDAD, LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES DE LA EMPRESA, Y LA NORMATIVA DE APLICACIÓN VIGENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
BODEGAJE,"ADMINISTRAR EL ÁREA DE TRABAJO DE LA BODEGA, TOMANDO EN CONSIDERACIÓN LOS PROCESOS OPERATIVOS (RECEPCIÓN, ALMACENAMIENTO Y DISTRIBUCIÓN), CUMPLIENDO CON LOS PROCEDIMIENTOS Y NORMATIVAS DE SEGURIDAD Y SALUD OCUPACIONAL VIGENTES EN LA ORGANIZACIÓN","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
OPERACIONES DE TARJA EN NAVES E INSTALACIONES PORTUARIAS,"CUANTIFICAR Y REGISTRAR LA CARGA, EN FORMA DOCUMENTAL O ELECTRÓNICA EN LAS NAVES E INSTALACIONES PORTUARIAS, DE ACUERDO A UNA PLANIFICACIÓN ESTABLECIDA, DANDO CUMPLIMIENTO A LAS NORMAS DE SEGURIDAD PORTUARIA Y PROCEDIMIENTOS ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
ACTIVIDADES AUXILIARES Y DE APOYO AL BUQUE EN PUERTO,"REALIZAR GUARDIAS, MANTENIMIENTO Y ENGRASE DE LOS ELEMENTOS A BORDO, REPARACIÓN DE LOS EQUIPOS DE PESCA FUERA DE USO, ADEMÁS DE LAS DISTINTAS MANIOBRAS DEL BUQUE EN PUERTO DE ACUERDO A LOS PROCEDIMIENTOS Y NORMAS DE SEGURIDAD ESTABLECIDAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
OPERACIONES DE ASISTENCIA A EQUIPAJES EN AEROPUERTOS,"REALIZAR LAS OPERACIONES NECESARIAS DE ASISTENCIA AL TRATAMIENTO DE EQUIPAJES Y MERCANCÍAS EN TERMINALES DE AEROPUERTOS PARA ASEGURAR SU MANIPULACIÓN, CARGA Y TRASLADO DE ACUERDO A SU TIPOLOGÍA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS Y CUMPLIENDO LAS NORMAS DE CALIDAD, SEGURIDAD, SALUD Y CUIDADO DEL MEDIO AMBIENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
OPERACIONES DE TRIPULANTE DE CABINA DE PASAJEROS DE TRANSPORTE AÉREO,"DESARROLLAR LAS ACTIVIDADES DE CABINA DE PASAJEROS EN TRANSPORTE AÉREO, VELANDO POR LA SEGURIDAD DE LOS MISMOS EN SITUACIONES NORMALES, ANORMALES Y DE EMERGENCIA, APLICANDO, SI PROCEDE, PRIMEROS AUXILIOS Y PROCEDIMIENTOS DE SUPERVIVENCIA, ASÍ COMO OFRECER A LOS PASAJEROS LOS SERVICIOS A BORDO QUE LA COMPAÑÍA ESTIPULE, DE FORMA QUE SE SATISFAGAN SUS EXPECTATIVAS Y SE CUMPLAN LOS OBJETIVOS DE LA ORGANIZACIÓN, CON LA CALIDAD REQUERIDA APLICANDO LA NORMATIVA VIGENTE Y CUMPLIENDO EL PLAN DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
ESTIBAJE PORTUARIO,"REALIZAR ACTIVIDADES DE MANIPULACIÓN DE MERCANCÍAS DURANTE LAS OPERACIONES DE CARGA, ESTIBA, REESTIBA, TRINCA, DESTRINCA Y PORTEO DE MERCANCÍAS TRANSPORTADAS EN LOS BUQUES, DE ACUERDO A LAS INSTRUCCIONES RECIBIDAS Y A LAS NORMAS DE SEGURIDAD PORTUARIA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
DISTRIBUCIÓN DE PRODUCTOS DE PANADERÍA Y PASTELERÍA,"REALIZAR LA DISTRIBUCIÓN DE LOS PRODUCTOS DE LA INDUSTRIA DE PANADERÍA Y PASTELERÍA, CUMPLIENDO CON LOS HORARIOS DE DESPACHO DE LOS PRODUCTOS ASÍ COMO CON LAS NORMAS DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
GESTIÓN EN LOGÍSTICA PORTUARIA,"REALIZAR LAS FUNCIONES DE VIGILANCIA DEL BUQUE PESQUERO, ASÍ COMO EL MANTENIMIENTO Y ENGRASE DE LOS ELEMENTOS DE A BORDO, EN SU ESTANCIA EN PUERTO, OCUPÁNDOSE BAJO LAS INDICACIONES DE UN SUPERIOR, DE LAS LABORES DE CARGA, DESCARGA Y ARRANCHE DE LOS PERTRECHOS Y PROVISIONES, Y LAS DE MANTENIMIENTO Y REPARACIÓN DE LOS EQUIPOS DE PESCA FUERA DE USO, COLABORANDO EN LAS DISTINTAS MANIOBRAS A REALIZAR POR EL BUQUE EN PUERTO, OBSERVANDO EN TODO MOMENTO LAS NORMAS DE SEGURIDAD","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
"OPERACIONES DE CONTROL EN LA RECEPCIÓN, UBICACIÓN Y DESPACHO DE CONTENEDORES","CONTROLAR LA UBICACIÓN Y DESPACHO DE LA CARGA EN LOS RECINTOS PORTUARIOS, DE ACUERDO A LAS INSTRUCCIONES ESTABLECIDAS POR EL SUPERIOR, DANDO CUMPLIMIENTO A LAS NORMAS DE SEGURIDAD.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
INSTRUMENTACIÓN INDUSTRIAL,"REALIZAR LA INSTALACIÓN DE EQUIPOS Y MAQUINARIA INDUSTRIAL, A PARTIR DE PLANOS Y CARACTERÍSTICAS TÉCNICAS, CUMPLIENDO CONDICIONES DE FUNCIONAMIENTO DE ACUERDO A NORMAS DE PREVENCIÓN EN RIESGOS LABORALES Y PROTECCIÓN DEL MEDIO AMBIENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
OPERACIONES ESPECIALIZADAS EN MONTAJE Y MANTENIMIENTO DE INSTALACIONES SOLARES TÉRMICAS,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES FUNDAMENTALMENTE SOBRE TÉRMICOS, FOTOVOLTAICAS Y EÓLICAS DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS E INSTRUCCIONES DE UN TÉCNICO DE NIVEL SUPERIOR Y CUMPLIENDO LAS PRESCRIPCIONES DE SEGURIDAD PARA LAS PERSONAS, MEDIO AMBIENTE E INSTALACIONES.",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
OPERACIONES ESPECIALIZADAS EN VOLTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES FUNDAMENTALMENTE SOBRE TÉRMICOS, FOTOVOLTAICAS Y EÓLICAS DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS E INSTRUCCIONES DE UN TÉCNICO DE NIVEL SUPERIOR Y CUMPLIENDO LAS PRESCRIPCIONES DE SEGURIDAD PARA LAS PERSONAS, MEDIO AMBIENTE E INSTALACIONES.",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
GESTIÓN ELÉCTRICA EN ENERGIAS RENOVABLES,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES FUNDAMENTALMENTE SOBRE TÉRMICOS, FOTOVOLTAICAS Y EÓLICAS DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS E INSTRUCCIONES DE UN TÉCNICO DE NIVEL SUPERIOR Y CUMPLIENDO LAS PRESCRIPCIONES DE SEGURIDAD PARA LAS PERSONAS, MEDIO AMBIENTE E INSTALACIONES",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
OPERACIONES DE ESTIBAJE DE ENVASADO DE GLP,"REALIZAR EL ESTIBAJE DE LOS CILINDROS DE GLP, PROVENIENTES DE LOS CENTROS DE DISTRIBUCIÓN, A LOS TRANSPORTADORES DE LA NAVE DE ENVASADO Y/O TALLER REPARACIÓN DE CILINDROS, CUMPLIENDO LOS PROCEDIMIENTOS Y NORMAS DE SALUD, SEGURIDAD Y AMBIENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
OPERACIONES DE REPARACIÓN DE CILINDROS DE GLP,"REALIZAR EL MANTENIMIENTO DE CILINDROS DE GLP, QUE HAN SUFRIDO ALGÚN DETERIORO EN SUS ASAS, BASES, VÁLVULAS O PINTURA, CUMPLIENDO LO ESTABLECIDO EN LOS PROCEDIMIENTOS INTERNOS, NORMAS TÉCNICAS Y DE SALUD, SEGURIDAD Y AMBIENTE APLICABLES VIGENTES.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
ASESORAMIENTO DE SEGUROS,REALIZAR EL ASESORAMIENTO Y COMERCIALIZACIÓN DE SEGUROS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y A LA NORMATIVA LEGAL VIGENTE.,SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
RECUPERACIÓN RECICLAJE Y REGENERACIÓN DE GASES REFRIGERANTES,"REACONDICIONAR GASES REFRIGERANTES A TRAVÉS DE EQUIPOS ESPECIALIZADOS CUMPLIENDO LAS NORMAS ESTABLECIDAS DE SEGURIDAD Y SALUD EN EL TRABAJO, CALIDAD Y MEDIO AMBIENTE.",ACTIVIDADES TIPO SERVICIOS,"RECOLECCIÓN, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS, RECUPERACIÓN DE MATERIALES"
MONTAJE E INSTALACIÓN DE CONSTRUCCIONES DE MADERA,"REALIZAR LAS OPERACIONES DE INSTALACIÓN, MONTAJE, AJUSTE Y ACABADO DE CONSTRUCCIONES DE ENTRAMADO LIGERO, PESADO, DE GRAN ESCUADRÍA, TRONCOS, MADERA LAMINADA Y SISTEMAS PANELIZADOS, EN CONDICIONES DE SEGURIDAD Y SALUD LABORAL.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,CONSTRUCCIÓN DE EDIFICIOS
INSTALACIONES HIDROSANITARIAS,"COLABORAR EN LA GESTIÓN DEL CICLO INTEGRAL DEL AGUA PROMOVIENDO SU USO EFICIENTE, Y DESARROLLAR PROYECTOS DE INSTALACIONES AUTÓNOMAS DE CAPTACIÓN, POTABILIZACIÓN, SUMINISTRO, SANEAMIENTO Y DEPURACIÓN DE AGUA, ORGANIZANDO Y CONTROLANDO SU MONTAJE Y MANTENIMIENTO, PARA CONSEGUIR LOS MEJORES RENDIMIENTOS DEL SISTEMA, INCLUYENDO SU EFICIENCIA ENERGÉTICA Y SU APROVECHAMIENTO MEDIANTE TÉCNICAS DE REUTILIZACIÓN, APLICANDO LOS CRITERIOS DE CALIDAD, CUMPLIENDO LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES DE LA EMPRESA Y LA NORMATIVA VIGENTE.","ELECTRICIDAD, GAS Y AGUA",ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
MANTENIMIENTO ELECTROMECÁNICO DE VEHÍCULOS,"REALIZAR OPERACIONES DE MANTENIMIENTO, MONTAJE DE ACCESORIOS Y MODIFICACIONES DEL VEHÍCULO EN EL ÁREA DE MECÁNICA, HIDRÁULICA, NEUMÁTICA Y ELECTRICIDAD ELECTRÓNICA AJUSTÁNDOSE A PROCEDIMIENTOS Y TIEMPOS ESTABLECIDOS, CONSIGUIENDO LA CALIDAD REQUERIDA Y EN CONDICIONES DE SEGURIDAD.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
ENDEREZAMIENTO Y SOLDADURA AUTOMOTRIZ,"ENDEREZAR PARTES Y PIEZAS AUTOMOTRICES MEDIANTE LA UTILIZACIÓN DE EQUIPOS Y HERRAMIENTAS PARA GARANTIZAR LA CALIDAD Y EL DISEÑO TÉCNICO ORIGINAL DE LOS COMPONENTES NUEVOS Y/O RESTAURADOS, CUMPLIENDO CON NORMAS DE CALIDAD,EGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
RECTIFICACIÓN,"REALIZAR LA RECTIFICACIÓN Y RECONSTRUCCIÓN DE PIEZAS METÁLICAS CONFORME A ESPECIFICACIONES TÉCNICAS DEL FABRICANTE O DISEÑO ORIGINAL ACORDE A NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
MECATRÓNICA AUTOMOTRIZ,"REALIZAR EL MANTENIMIENTO, DIAGNOSTICO Y REPARACION DE LOS SISTEMAS MECANICOS, ELECTRICOS Y ELECTRONICOS DE LOS VEHICULOS AUTOMOTORES EN CONDICIONES DE AUTONOMIA, SEGURIDAD Y CUIDADO DEL MEDIO AMBIENTE UTILIZANDO LOS PROCEDIMIENTOS TECNICOS ESTABLECIDOS Y LA INFORMACION TECNICA DE LOS FABRICANTES.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
INSTALACIÓN DE ELEMENTOS DE CARPINTERÍA,"REALIZAR LAS OPERACIONES DE PLANIFICACIÓN, MONTAJE, AJUSTE Y ACABADO DE LAS INSTALACIONES DE ELEMENTOS DE CARPINTERÍA, CONSIGUIENDO LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, DE SALUD LABORAL Y DE MEDIO AMBIENTE ADECUADAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
ELABORACIÓN DE MACANA,"ELABORAR MACANAS DE ACUERDO A LOS REQUERIMIENTOS DEL CLIENTE O NECESIDAD PROPIA, CUMPLIENDO NORMATIVA AMBIENTAL VIGENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES.
ASISTENCIA MECÁNICA,"REALIZAR ACTIVIDADES DE MANTENIMIENTO CORRECTIVO Y PREVENTIVO DE AUTOMOTORES Y SUS SISTEMAS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y CONSIDERANDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL Y AMBIENTALES.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
MANTENIMIENTO DE SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS,"REALIZAR EL MANTENIMIENTO (PREVENTIVO Y CORRECTIVO) E INSTALACIÓN DE CIRCUITOS Y ACCESORIOS ELÉCTRICOS Y ELECTRÓNICOS DE VEHÍCULOS AUTOMÓVILES, INDUSTRIALES, MOTOCICLETAS, MAQUINARIA PESADA Y AGRÍCOLA, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS, CONSIGUIENDO LA CALIDAD REQUERIDA EN CONDICIONES DE SEGURIDAD.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
RECTIFICACIÓN DE PINTURA AUTOMOTRÍZ,"RECTIFICAR SUPERFICIES DE VEHÍCULOS, CONFORME TÉCNICAS Y PROCEDIMIENTOS REQUERIDOS EN CADA CASO, CUMPLIENDO LA CALIDAD REQUERIDA EN CONDICIONES DE SEGURIDAD Y LAS ESPECIFICACIONES DEL CLIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
SOLDADURA EN PROCESO SMAW (SOLDADURA POR ARCO CON ELECTRODO METÁLICO REVESTIDO),"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS EN ESTRUCTURAS METÁLICAS LIGERAS UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON ELECTRODO METÁLICO REVESTIDO (SMAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
ARMADO DE ESTRUCTURAS METÁLICAS,"REALIZAR EL ARMADO, MONTAJE Y ACABADO DE ESTRUCTURAS METÁLICAS CONFORME AL DISEÑO Y ESPECIFICACIONES TÉCNICAS REQUERIDAS, CUMPLIENDO CON NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
HOJALATERÍA,"ELABORAR ELEMENTOS DE HOJALATA (INSTALACIÓN Y REPARACIÓN), SEGÚN PROCEDIMIENTOS DEL TIPO DE TRABAJO A REALIZARSE CUMPLIENDO NORMAS DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES","FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
OPERACIONES EN PROCESO PAC (CORTE POR ARCO PLASMA),"REALIZAR LAS OPERACIONES CORRESPONDIENTES AL CORTE DE MATERIALES METÁLICOS UTILIZANDO EL PROCESO DE CORTE POR ARCO PLASMA (PAC), CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD INDUSTRIAL, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
DESARROLLO DE MOLDES Y PATRONES,"ELABORAR MOLDES DE ACUERDO A DISEÑOS TÉCNICOS Y REQUERIMIENTOS DE LOS CLIENTES BAJO LOS ESTÁNDARES ESTABLECIDOS EN LAS NORMAS DE CALIDAD, SEGURIDAD Y MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
GESTIÓN EN AUTOMATIZACIÓN E INSTRUMENTACIÓN,"REALIZAR EL MONTAJE Y PUESTA EN MARCHA BIENES DE EQUIPO Y MAQUINARIA INDUSTRIAL, A PARTIR DE PLANOS DE MONTAJE E INSTRUCCIONES TÉCNICAS, UTILIZANDO LOS ÚTILES Y HERRAMIENTAS REQUERIDOS, MANTENIENDO LOS BIENES DE EQUIPO Y MAQUINARIA INDUSTRIAL EN CONDICIONES DE FUNCIONAMIENTO Y DISPONIBILIDAD DURANTE EL PERIODO DE GARANTÍA Y CUMPLIENDO CON LA NORMATIVA APLICABLE DE PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN DEL MEDIO AMBIENTE.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
ASISTENCIA EN ACTIVIDADES OPERATIVAS DE COMERCIO EXTERIOR,ASISTIR EN LAS OPERACIONES DE COMERCIO EXTERIOR DE PRODUCTOS Y SERVICIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS EN LA NORMATIVA NACIONAL E INTERNACIONAL VIGENTE,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
GESTIÓN DE COMPRAS Y ABASTECIMIENTOS,GESTIONAR LA COMPRA Y ABASTECIMIENTO DE PRODUCTOS Y/O SERVICIOS CUMPLIENDO PROCEDIMIENTOS Y POLÍTICAS ESTABLECIDAS.,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
